#code	score
1bcu_11	5.518486
1bcu_220	5.334259
1bcu_270	11.43075
1bcu_309	2.4056115
1bcu_334	2.8228252
1bcu_33	6.9959474
1bcu_362	2.6858358
1bcu_397	5.5141263
1bcu_406	4.6329107
1bcu_424	9.49998
1bcu_442	14.6292925
1bcu_451	19.02312
1bcu_454	20.751825
1bcu_462	9.738769
1bcu_469	10.767281
1bcu_473	17.390306
1bcu_479	5.3586793
1bcu_483	13.023704
1bcu_495	5.12908
1bcu_564	9.149262
1bcu_585	9.858164
1bcu_591	27.5288
1bcu_595	11.787056
1bcu_608	17.550764
1bcu_617	10.823703
1bcu_634	13.962372
1bcu_653	19.320652
1bcu_661	18.080244
1bcu_684	6.2577205
1bcu_695	12.5046215
1bcu_701	6.685202
1bcu_703	4.718031
1bcu_708	7.808853
1bcu_712	7.130615
1bcu_715	7.7631226
1bcu_717	12.566271
1bcu_718	8.937142
1bcu_720	9.398562
1bcu_725	10.860182
1bcu_729	10.554181
1bcu_738	9.886743
1bcu_741	9.328255
1bcu_742	8.788144
1bcu_745	8.405861
1bcu_749	8.774181
1bcu_752	7.918317
1bcu_753	8.200042
1bcu_754	8.993451
1bcu_756	8.995336
1bcu_758	8.790831
1bcu_761	8.8250065
1bcu_764	7.6510863
1bcu_765	8.676922
1bcu_772	7.495832
1bcu_773	8.300172
1bcu_777	9.832808
1bcu_778	9.183558
1bcu_782	7.925264
1bcu_788	8.464901
1bcu_790	8.492543
1bcu_803	7.4874516
1bcu_806	6.5395603
1bcu_813	6.237584
1bcu_825	5.6530604
1bcu_828	9.571661
1bcu_829	10.517726
1bcu_843	7.4906454
1bcu_850	9.153805
1bcu_852	7.819241
1bcu_855	11.2978
1bcu_862	10.399096
1bcu_869	8.940397
1bcu_878	8.513004
1bcu_881	6.8231883
1bcu_885	7.5741396
1bcu_886	10.565769
1bcu_887	7.948851
1bcu_888	7.7412386
1bcu_890	10.517779
1bcu_893	7.716061
1bcu_898	7.767128
1bcu_903	6.9294276
1bcu_915	7.9562106
1bcu_919	6.21543
1bcu_920	9.731556
1bcu_923	4.613711
1bcu_931	9.813026
1bcu_933	8.565701
1bcu_939	8.976571
1bcu_949	10.845086
1bcu_967	8.10034
1bcu_971	8.602742
1bcu_977	10.883235
1bcu_980	7.3826685
1bcu_981	10.1688595
1bcu_983	8.314356
1bcu_984	9.629781
1bcu_989	8.528197
1bcu_991	7.4681754
1bcu_996	9.228001
1bcu_ligand	3.0316932
