#code	score
1mq6_110	8.461017
1mq6_126	6.30076
1mq6_129	-5.574627
1mq6_134	7.7559953
1mq6_140	6.8865743
1mq6_145	5.4796095
1mq6_156	5.586745
1mq6_174	9.82555
1mq6_200	7.6963553
1mq6_205	3.0711968
1mq6_226	-2.362085
1mq6_266	7.1952925
1mq6_369	6.847753
1mq6_381	6.5482287
1mq6_390	5.316847
1mq6_391	6.3860927
1mq6_394	9.545958
1mq6_406	20.175076
1mq6_409	24.496199
1mq6_411	28.658918
1mq6_416	38.778618
1mq6_419	23.645155
1mq6_431	50.80902
1mq6_432	30.26585
1mq6_435	25.018595
1mq6_441	22.644663
1mq6_451	41.431
1mq6_453	43.250088
1mq6_46	6.714669
1mq6_472	56.92186
1mq6_482	35.140038
1mq6_486	22.942423
1mq6_488	50.75603
1mq6_489	47.222237
1mq6_509	12.048994
1mq6_519	17.278152
1mq6_538	15.674942
1mq6_541	17.847254
1mq6_552	12.775358
1mq6_563	22.089869
1mq6_578	9.446055
1mq6_585	14.158001
1mq6_586	25.289698
1mq6_596	31.804743
1mq6_598	16.35043
1mq6_613	22.153563
1mq6_630	16.01551
1mq6_632	29.316565
1mq6_645	23.553425
1mq6_662	34.27409
1mq6_677	12.65452
1mq6_686	18.083565
1mq6_690	16.630577
1mq6_691	10.112214
1mq6_695	20.243532
1mq6_722	0.37836003
1mq6_723	0.3199891
1mq6_748	8.498714
1mq6_750	7.8266916
1mq6_755	10.817212
1mq6_776	10.663928
1mq6_777	12.888987
1mq6_798	-4.9666634
1mq6_805	5.9325147
1mq6_848	4.8496614
1mq6_854	8.2074375
1mq6_861	11.802635
1mq6_882	8.067377
1mq6_886	-4.9577723
1mq6_889	5.6325426
1mq6_891	-2.9563148
1mq6_902	5.702124
1mq6_907	3.5719018
1mq6_909	2.556859
1mq6_910	4.2784586
1mq6_914	6.6300483
1mq6_920	4.9797654
1mq6_931	9.007436
1mq6_932	8.924838
1mq6_933	5.8015027
1mq6_935	8.747318
1mq6_951	13.671465
1mq6_956	8.532595
1mq6_961	9.753351
1mq6_962	9.006013
1mq6_967	11.499655
1mq6_968	8.573152
1mq6_969	5.713014
1mq6_970	11.525742
1mq6_974	8.077033
1mq6_975	9.248582
1mq6_976	12.613919
1mq6_977	8.662894
1mq6_978	11.64366
1mq6_ligand	-8.459346
