#code	score
1o5b_19	5.5709243
1o5b_200	5.043286
1o5b_253	7.0824704
1o5b_256	15.31455
1o5b_272	5.806737
1o5b_329	3.1024995
1o5b_396	-3.0060198
1o5b_400	4.397602
1o5b_406	11.40392
1o5b_413	9.898491
1o5b_419	11.234473
1o5b_421	10.601315
1o5b_423	13.075972
1o5b_432	11.364426
1o5b_441	6.245537
1o5b_445	9.939709
1o5b_446	13.286989
1o5b_454	10.472008
1o5b_461	12.693464
1o5b_468	9.75628
1o5b_472	15.240235
1o5b_474	14.228649
1o5b_483	14.857002
1o5b_489	12.509059
1o5b_490	20.512726
1o5b_497	6.8893123
1o5b_505	10.228167
1o5b_508	10.443541
1o5b_511	7.823892
1o5b_512	8.667135
1o5b_529	8.840183
1o5b_534	7.0735164
1o5b_535	9.03903
1o5b_539	9.452171
1o5b_548	6.1679125
1o5b_552	8.198266
1o5b_554	13.1698265
1o5b_561	10.124552
1o5b_572	15.261976
1o5b_579	11.376936
1o5b_584	13.365723
1o5b_592	18.221619
1o5b_595	8.167524
1o5b_625	6.9913373
1o5b_628	17.01765
1o5b_638	10.083458
1o5b_653	9.9593315
1o5b_654	21.001793
1o5b_663	18.222504
1o5b_664	11.608213
1o5b_665	17.105309
1o5b_681	17.233843
1o5b_699	8.455035
1o5b_722	8.02859
1o5b_723	9.840668
1o5b_724	7.451585
1o5b_725	10.742322
1o5b_726	10.294065
1o5b_731	11.061658
1o5b_732	11.093096
1o5b_739	13.110383
1o5b_740	8.76882
1o5b_744	10.559132
1o5b_747	13.737959
1o5b_750	9.304771
1o5b_751	11.342924
1o5b_755	11.519495
1o5b_756	8.986542
1o5b_760	11.428487
1o5b_762	10.181045
1o5b_764	10.988752
1o5b_765	9.657634
1o5b_79	11.4747925
1o5b_807	9.749077
1o5b_813	7.4378505
1o5b_827	11.219943
1o5b_832	11.991512
1o5b_836	11.102086
1o5b_844	8.16211
1o5b_857	10.085634
1o5b_860	8.575252
1o5b_865	13.715872
1o5b_892	11.896659
1o5b_903	10.93241
1o5b_911	11.212024
1o5b_936	10.006923
1o5b_943	9.597116
1o5b_957	9.845274
1o5b_959	9.186387
1o5b_963	9.428219
1o5b_ligand	-0.615509
