#code	score
1syi_162	0.6310209
1syi_234	-2.4258323
1syi_259	3.3080444
1syi_353	-3.793479
1syi_402	3.796973
1syi_411	-1.0850714
1syi_418	7.584864
1syi_423	10.439238
1syi_424	10.511385
1syi_425	9.827753
1syi_426	15.580284
1syi_433	7.989268
1syi_444	6.7416854
1syi_448	12.451655
1syi_454	17.546782
1syi_457	14.261272
1syi_465	20.036423
1syi_476	10.367368
1syi_489	20.785162
1syi_495	13.32596
1syi_540	10.433385
1syi_545	31.527418
1syi_554	23.545485
1syi_559	15.42795
1syi_560	20.549603
1syi_562	13.847969
1syi_570	10.642745
1syi_571	13.621082
1syi_573	12.986081
1syi_577	18.048405
1syi_580	18.507627
1syi_598	15.041161
1syi_618	13.96812
1syi_619	10.543284
1syi_637	17.583164
1syi_659	21.277239
1syi_660	14.113905
1syi_667	18.18183
1syi_675	18.49011
1syi_683	15.336863
1syi_685	14.312008
1syi_725	7.068588
1syi_733	7.7401233
1syi_736	12.083906
1syi_740	13.508959
1syi_763	10.720577
1syi_777	12.6753025
1syi_788	13.597553
1syi_793	16.734007
1syi_795	10.537625
1syi_ligand	-3.2658017
