#code	score
2hb1_102	4.1312103
2hb1_134	-0.7686539
2hb1_148	3.4929109
2hb1_149	1.3010358
2hb1_167	2.5264714
2hb1_175	-3.5293653
2hb1_313	-2.0326345
2hb1_330	1.0201223
2hb1_376	4.4361978
2hb1_408	5.2215137
2hb1_417	5.6546683
2hb1_424	9.233761
2hb1_427	17.83477
2hb1_438	21.217762
2hb1_440	5.213706
2hb1_447	11.391684
2hb1_448	20.673506
2hb1_457	6.3411293
2hb1_463	28.796412
2hb1_477	1.6502048
2hb1_480	20.808664
2hb1_485	12.773586
2hb1_495	10.80286
2hb1_504	5.2149343
2hb1_559	13.582871
2hb1_562	8.639791
2hb1_573	16.787052
2hb1_574	17.41376
2hb1_613	12.994588
2hb1_640	-0.5979932
2hb1_642	8.113841
2hb1_664	4.420059
2hb1_666	6.672149
2hb1_675	19.128996
2hb1_689	8.124899
2hb1_690	6.5031185
2hb1_695	13.991785
2hb1_763	7.495124
2hb1_772	3.5962944
2hb1_785	3.5721006
2hb1_981	1.3944454
2hb1_ligand	-3.818375
