#code	score
2qbr_1000	4.638437
2qbr_121	-3.598348
2qbr_157	4.0458984
2qbr_170	7.0350456
2qbr_197	5.9673996
2qbr_201	5.8254642
2qbr_20	-1.0323145
2qbr_259	1.426249
2qbr_270	3.8253176
2qbr_282	1.6475756
2qbr_293	3.9840126
2qbr_301	1.5374612
2qbr_353	-3.9937139
2qbr_375	-1.8838891
2qbr_385	-3.559153
2qbr_394	3.6022882
2qbr_402	24.941267
2qbr_409	16.418537
2qbr_410	21.76185
2qbr_424	19.249998
2qbr_427	22.518896
2qbr_428	29.000185
2qbr_429	32.770622
2qbr_432	17.358463
2qbr_439	17.40312
2qbr_445	25.58644
2qbr_447	16.429863
2qbr_450	20.636183
2qbr_455	38.421314
2qbr_45	4.2364044
2qbr_469	38.135193
2qbr_473	31.852543
2qbr_474	20.096882
2qbr_486	36.393803
2qbr_487	28.395609
2qbr_488	23.84963
2qbr_497	20.162113
2qbr_514	17.856516
2qbr_516	23.826527
2qbr_517	16.216806
2qbr_522	21.736444
2qbr_523	15.560823
2qbr_526	24.596867
2qbr_527	20.508392
2qbr_532	23.388002
2qbr_536	42.47639
2qbr_555	17.104433
2qbr_563	15.657498
2qbr_566	25.050838
2qbr_573	26.76755
2qbr_582	8.793064
2qbr_583	16.024378
2qbr_590	23.771368
2qbr_593	37.02006
2qbr_595	15.037789
2qbr_617	21.513521
2qbr_61	-3.747845
2qbr_629	23.424519
2qbr_633	13.900301
2qbr_639	5.580682
2qbr_645	54.130985
2qbr_647	16.885988
2qbr_656	23.487762
2qbr_663	10.760478
2qbr_667	20.369484
2qbr_677	29.353346
2qbr_689	8.817211
2qbr_690	38.026855
2qbr_699	15.141727
2qbr_764	6.3621125
2qbr_765	3.106917
2qbr_767	8.242244
2qbr_771	2.6885638
2qbr_777	10.096043
2qbr_778	-4.9672365
2qbr_780	-1.1490253
2qbr_782	9.055423
2qbr_790	4.279275
2qbr_796	3.827882
2qbr_797	7.7437425
2qbr_798	7.4370337
2qbr_799	6.070783
2qbr_802	6.321934
2qbr_81	1.1827149
2qbr_821	6.7083783
2qbr_856	5.347311
2qbr_875	7.9654174
2qbr_887	5.11215
2qbr_895	9.119143
2qbr_900	4.6138363
2qbr_ligand	-6.014794
