#code	score
2wbg_111	10.11286
2wbg_117	6.82573
2wbg_123	6.3459315
2wbg_153	3.7511928
2wbg_15	-3.456866
2wbg_164	7.62684
2wbg_270	-3.0810564
2wbg_309	5.4156513
2wbg_322	4.077484
2wbg_331	0.13000247
2wbg_336	4.759038
2wbg_345	7.6339517
2wbg_365	5.6801567
2wbg_367	5.0360236
2wbg_379	6.427402
2wbg_389	6.4131327
2wbg_421	14.924395
2wbg_439	20.784254
2wbg_467	9.20482
2wbg_470	16.708399
2wbg_473	9.393713
2wbg_492	19.899567
2wbg_4	-3.3929946
2wbg_511	8.143021
2wbg_514	6.724444
2wbg_521	5.883255
2wbg_525	11.381476
2wbg_527	14.336368
2wbg_533	7.0932403
2wbg_543	11.744915
2wbg_554	7.39272
2wbg_559	7.397351
2wbg_565	12.889111
2wbg_566	7.5643144
2wbg_588	8.513522
2wbg_593	12.081839
2wbg_598	35.77727
2wbg_625	16.606216
2wbg_637	12.410725
2wbg_649	15.350113
2wbg_650	39.42364
2wbg_667	10.043944
2wbg_668	9.819031
2wbg_688	20.7848
2wbg_715	-2.8201091
2wbg_719	2.2057576
2wbg_721	2.0305686
2wbg_730	0.83486557
2wbg_731	4.3131757
2wbg_734	0.91376805
2wbg_737	3.8148823
2wbg_742	3.7872334
2wbg_747	2.1100135
2wbg_750	4.5482197
2wbg_754	2.933673
2wbg_755	3.1267018
2wbg_75	-3.9170024
2wbg_763	3.0740376
2wbg_767	3.871588
2wbg_775	4.1434913
2wbg_779	6.1254973
2wbg_781	2.7211995
2wbg_783	5.983387
2wbg_784	5.844017
2wbg_786	8.411249
2wbg_788	5.2716537
2wbg_791	9.317567
2wbg_792	4.951226
2wbg_795	8.14781
2wbg_797	6.533824
2wbg_880	3.684306
2wbg_886	0.36678657
2wbg_889	5.1771393
2wbg_897	5.0014143
2wbg_944	-3.6016817
2wbg_976	-2.7191424
2wbg_ligand	-3.179284
