#code	score
2weg_106	7.191243
2weg_146	5.0368557
2weg_177	5.2941356
2weg_204	6.5782223
2weg_20	7.563452
2weg_218	7.9409146
2weg_21	6.0469213
2weg_248	6.1175237
2weg_301	3.6546104
2weg_314	4.500875
2weg_335	4.8299413
2weg_343	6.6003346
2weg_371	4.454401
2weg_385	6.2850003
2weg_387	4.727511
2weg_390	3.512123
2weg_407	10.999507
2weg_415	22.346157
2weg_419	8.097476
2weg_437	14.818208
2weg_443	13.545304
2weg_447	21.912271
2weg_468	26.981123
2weg_472	15.300002
2weg_476	8.230242
2weg_502	12.795989
2weg_515	10.615632
2weg_517	10.84136
2weg_518	14.398925
2weg_520	16.406952
2weg_525	19.31097
2weg_52	6.230334
2weg_530	20.01021
2weg_542	12.443547
2weg_566	15.367741
2weg_579	11.402066
2weg_582	13.325632
2weg_592	16.008562
2weg_598	18.462278
2weg_599	10.430595
2weg_604	11.8032675
2weg_614	11.741647
2weg_620	12.324398
2weg_632	27.305593
2weg_643	16.689772
2weg_644	16.360712
2weg_653	16.254976
2weg_666	38.049114
2weg_674	17.196753
2weg_686	22.682655
2weg_699	13.898127
2weg_765	10.472634
2weg_776	9.44369
2weg_784	9.790121
2weg_785	9.621174
2weg_80	7.0544286
2weg_838	7.17331
2weg_ligand	6.282976
