#code	score
2wtv_105	-8.504121
2wtv_108	-9.530959
2wtv_118	-10.313227
2wtv_133	-5.1352663
2wtv_143	-6.311514
2wtv_144	10.484725
2wtv_152	7.877014
2wtv_157	10.2651
2wtv_159	12.43658
2wtv_174	-5.2817345
2wtv_196	10.486056
2wtv_20	9.370119
2wtv_237	9.808022
2wtv_240	5.0343776
2wtv_24	7.397702
2wtv_250	8.221261
2wtv_255	5.3930593
2wtv_260	7.9909644
2wtv_289	25.675009
2wtv_296	5.885585
2wtv_317	8.71952
2wtv_320	-10.297382
2wtv_328	-0.06683749
2wtv_32	5.65186
2wtv_333	10.699719
2wtv_357	-9.025259
2wtv_376	-6.2948155
2wtv_38	7.7576175
2wtv_39	9.288201
2wtv_401	18.016445
2wtv_411	29.516445
2wtv_415	31.965921
2wtv_421	46.610836
2wtv_427	30.02179
2wtv_432	44.585743
2wtv_436	27.522572
2wtv_437	35.552982
2wtv_455	29.091824
2wtv_459	31.105978
2wtv_460	56.419075
2wtv_470	32.66127
2wtv_477	31.760149
2wtv_481	31.85128
2wtv_483	35.496784
2wtv_486	47.45654
2wtv_487	21.294321
2wtv_489	42.438282
2wtv_498	23.105154
2wtv_499	34.33728
2wtv_502	15.800158
2wtv_506	9.381764
2wtv_509	16.7185
2wtv_533	18.836988
2wtv_534	33.532555
2wtv_541	15.7920685
2wtv_544	17.877327
2wtv_547	13.240492
2wtv_548	15.004577
2wtv_551	20.369436
2wtv_557	15.437876
2wtv_558	16.566233
2wtv_55	10.502419
2wtv_561	22.438875
2wtv_570	13.538951
2wtv_575	17.495796
2wtv_576	28.962112
2wtv_579	28.424946
2wtv_581	25.638039
2wtv_584	35.202763
2wtv_585	13.166658
2wtv_590	22.610209
2wtv_591	14.110457
2wtv_595	27.14766
2wtv_596	18.695753
2wtv_602	20.50416
2wtv_604	20.517595
2wtv_608	12.456005
2wtv_611	14.538418
2wtv_612	21.31092
2wtv_615	19.482203
2wtv_624	20.61757
2wtv_631	26.403223
2wtv_637	18.72474
2wtv_644	26.774096
2wtv_670	20.677214
2wtv_674	26.152975
2wtv_675	42.166336
2wtv_676	28.985786
2wtv_689	16.64682
2wtv_691	29.64549
2wtv_697	39.018112
2wtv_737	9.813044
2wtv_78	10.80165
2wtv_799	7.6686463
2wtv_801	7.8122926
2wtv_804	10.970345
2wtv_83	6.6929007
2wtv_84	8.036644
2wtv_90	10.590474
2wtv_98	7.219186
2wtv_ligand	-9.794553
