#code	score
2xnb_159	5.3078384
2xnb_253	-8.123325
2xnb_26	-6.9819694
2xnb_280	-1.2322577
2xnb_291	-6.755442
2xnb_353	0.6428278
2xnb_354	-5.2507215
2xnb_400	-1.0908018
2xnb_403	17.728481
2xnb_409	17.383713
2xnb_428	15.798162
2xnb_430	33.997185
2xnb_434	20.953997
2xnb_437	16.073107
2xnb_441	31.354322
2xnb_446	9.070253
2xnb_454	11.236641
2xnb_455	34.08981
2xnb_459	10.303751
2xnb_462	14.027713
2xnb_463	6.9181476
2xnb_46	-5.5916357
2xnb_476	28.628395
2xnb_479	9.976307
2xnb_481	17.916332
2xnb_483	33.59925
2xnb_484	18.73485
2xnb_487	23.569876
2xnb_488	10.716521
2xnb_499	17.455433
2xnb_517	13.02911
2xnb_538	12.830058
2xnb_539	10.720437
2xnb_545	8.580407
2xnb_558	10.723324
2xnb_574	6.6886253
2xnb_584	9.556115
2xnb_586	13.369766
2xnb_588	12.877081
2xnb_590	13.042409
2xnb_592	29.482521
2xnb_593	17.31947
2xnb_596	14.505702
2xnb_610	21.413708
2xnb_627	15.420585
2xnb_633	15.250495
2xnb_653	13.265836
2xnb_663	29.828606
2xnb_674	18.435684
2xnb_675	13.942068
2xnb_694	14.029079
2xnb_69	-7.188795
2xnb_707	-3.9446208
2xnb_709	5.082248
2xnb_717	8.881783
2xnb_718	6.3739533
2xnb_723	5.4742556
2xnb_724	10.692543
2xnb_726	6.2062154
2xnb_728	4.6665835
2xnb_729	3.8072395
2xnb_730	5.47615
2xnb_733	5.116313
2xnb_734	8.479865
2xnb_735	7.6977344
2xnb_737	8.192073
2xnb_738	4.252459
2xnb_73	6.4095116
2xnb_751	-6.6649137
2xnb_770	-0.7575672
2xnb_782	5.38696
2xnb_787	7.7840724
2xnb_795	5.7290897
2xnb_812	7.516158
2xnb_818	1.4678218
2xnb_827	4.3828654
2xnb_833	8.914074
2xnb_841	-7.2009754
2xnb_846	-8.666329
2xnb_855	2.3850245
2xnb_858	-5.605427
2xnb_896	-2.9431472
2xnb_911	4.810367
2xnb_913	1.24243
2xnb_918	6.9921474
2xnb_923	-3.8597603
2xnb_924	-3.35611
2xnb_934	0.33691892
2xnb_937	5.1040816
2xnb_939	2.205973
2xnb_ligand	-8.304099
