#code	score
2xys_114	7.583375
2xys_127	5.299665
2xys_398	2.753937
2xys_410	9.62103
2xys_414	10.897449
2xys_417	8.240636
2xys_420	5.5745177
2xys_424	6.2875624
2xys_443	10.6788225
2xys_491	18.221016
2xys_494	17.775452
2xys_499	8.910698
2xys_533	11.245117
2xys_541	16.058998
2xys_554	12.745045
2xys_567	12.218974
2xys_572	13.714637
2xys_573	11.048417
2xys_577	9.453468
2xys_578	19.264864
2xys_580	12.952193
2xys_581	9.169766
2xys_598	7.299063
2xys_600	11.9779005
2xys_610	17.438364
2xys_616	12.9474745
2xys_620	10.347442
2xys_622	18.573118
2xys_623	16.49687
2xys_630	13.330731
2xys_659	11.27471
2xys_662	31.34623
2xys_667	14.497519
2xys_675	15.022673
2xys_681	17.911776
2xys_688	12.169966
2xys_690	14.987086
2xys_695	14.591594
2xys_703	5.7844515
2xys_707	5.366464
2xys_725	5.127021
2xys_735	11.11059
2xys_737	9.311878
2xys_742	7.958408
2xys_743	10.240018
2xys_747	9.128691
2xys_748	11.172104
2xys_750	11.831864
2xys_759	10.575041
2xys_760	13.630083
2xys_763	24.382568
2xys_782	5.405506
2xys_793	6.467732
2xys_801	6.632783
2xys_826	4.2275395
2xys_831	7.9065914
2xys_848	10.815624
2xys_855	10.380377
2xys_876	6.824612
2xys_927	6.0995684
2xys_937	4.5920916
2xys_940	5.9600983
2xys_941	6.3701806
2xys_953	6.991501
2xys_ligand	3.5819535
