#code	score
2yfe_115	4.39866
2yfe_123	4.4083066
2yfe_176	6.329331
2yfe_232	1.1363814
2yfe_236	2.309608
2yfe_23	-5.3192015
2yfe_240	0.35825413
2yfe_257	-0.22551247
2yfe_286	-3.98475
2yfe_414	26.43332
2yfe_426	12.394693
2yfe_437	32.588642
2yfe_450	12.7491665
2yfe_453	24.997076
2yfe_458	47.957184
2yfe_461	17.194925
2yfe_462	21.010073
2yfe_464	22.438889
2yfe_466	18.987452
2yfe_467	26.398779
2yfe_470	14.086706
2yfe_473	41.79823
2yfe_487	16.968687
2yfe_489	25.18905
2yfe_490	10.252861
2yfe_491	16.06952
2yfe_492	17.851643
2yfe_493	19.924274
2yfe_496	35.52422
2yfe_4	-5.722338
2yfe_502	13.318937
2yfe_504	15.4088745
2yfe_517	15.076693
2yfe_523	17.29789
2yfe_52	-5.563041
2yfe_538	18.065538
2yfe_53	-6.9205575
2yfe_545	12.908642
2yfe_547	19.295235
2yfe_548	8.101605
2yfe_552	15.120961
2yfe_561	13.745398
2yfe_564	10.7983675
2yfe_565	12.70888
2yfe_572	9.460088
2yfe_574	16.853334
2yfe_591	17.334845
2yfe_597	20.285334
2yfe_599	18.82074
2yfe_601	17.560547
2yfe_603	23.227886
2yfe_608	28.004015
2yfe_618	34.91509
2yfe_627	24.016314
2yfe_637	25.517479
2yfe_641	24.482544
2yfe_656	21.795769
2yfe_657	18.128319
2yfe_659	12.269251
2yfe_660	14.743096
2yfe_667	27.17875
2yfe_680	12.226776
2yfe_682	13.149515
2yfe_688	24.112335
2yfe_694	34.018658
2yfe_71	-2.5846999
2yfe_722	4.79608
2yfe_724	4.272873
2yfe_732	7.4562373
2yfe_737	6.346352
2yfe_745	5.519691
2yfe_748	8.079917
2yfe_753	9.671928
2yfe_774	8.670237
2yfe_784	2.670177
2yfe_800	4.6763926
2yfe_809	4.3992414
2yfe_813	4.310107
2yfe_815	4.650602
2yfe_81	-5.927625
2yfe_851	5.964312
2yfe_931	6.636232
2yfe_943	3.2492652
2yfe_950	4.308369
2yfe_960	0.757209
2yfe_965	4.9984536
2yfe_969	5.0844226
2yfe_971	6.2502847
2yfe_973	10.205044
2yfe_985	3.9275863
2yfe_ligand	-6.884376
