#code	score
3arv_116	4.087211
3arv_122	5.253897
3arv_184	4.831571
3arv_1	3.0887535
3arv_304	4.104255
3arv_324	4.2729373
3arv_327	3.727902
3arv_336	2.7966425
3arv_337	4.717522
3arv_345	3.7711334
3arv_353	4.172188
3arv_355	3.1364622
3arv_359	3.972886
3arv_367	3.6650686
3arv_372	4.4842577
3arv_373	4.2000294
3arv_374	3.6398127
3arv_386	3.7838166
3arv_387	4.5144215
3arv_470	10.348545
3arv_515	1.6909891
3arv_51	3.6956844
3arv_559	11.061296
3arv_56	2.6499667
3arv_600	9.551607
3arv_708	10.406492
3arv_715	7.870975
3arv_716	9.498089
3arv_717	6.700898
3arv_719	7.811526
3arv_720	9.09043
3arv_721	9.293831
3arv_723	6.7391124
3arv_749	9.373054
3arv_750	9.399239
3arv_752	8.55554
3arv_771	9.131063
3arv_774	9.79094
3arv_801	6.3067746
3arv_803	8.654965
3arv_806	6.033424
3arv_807	7.7600665
3arv_810	7.0021253
3arv_811	10.806274
3arv_812	10.764048
3arv_815	8.001136
3arv_816	9.473445
3arv_817	6.120902
3arv_818	7.3183546
3arv_819	9.342927
3arv_820	7.469086
3arv_821	11.061448
3arv_824	9.517478
3arv_828	7.9194503
3arv_837	9.083769
3arv_842	9.481178
3arv_843	9.933027
3arv_848	9.903489
3arv_849	7.58115
3arv_850	9.620446
3arv_853	8.651795
3arv_855	9.734837
3arv_856	7.2924604
3arv_860	9.3959875
3arv_861	10.566995
3arv_868	9.718836
3arv_869	9.480153
3arv_876	8.456785
3arv_877	10.228319
3arv_879	10.275832
3arv_880	8.340804
3arv_881	9.228382
3arv_882	10.515297
3arv_887	7.9914117
3arv_888	9.830119
3arv_889	8.44046
3arv_897	11.143243
3arv_898	9.43849
3arv_900	8.980573
3arv_908	10.47289
3arv_910	6.8517165
3arv_912	8.351496
3arv_916	9.216163
3arv_924	7.108497
3arv_930	9.623098
3arv_931	9.633488
3arv_943	8.822887
3arv_944	8.755865
3arv_951	9.092009
3arv_963	7.7251816
3arv_966	10.143182
3arv_968	6.3834085
3arv_982	9.787933
3arv_995	8.1676855
3arv_ligand	5.117596
