#code	score
3ary_100	5.04865
3ary_147	6.351534
3ary_154	4.843204
3ary_162	6.3419194
3ary_187	4.895776
3ary_195	-0.6873612
3ary_206	2.332085
3ary_208	3.2845387
3ary_222	0.76175773
3ary_230	10.1759615
3ary_237	3.6820567
3ary_240	6.6944394
3ary_244	9.011146
3ary_252	5.296108
3ary_255	3.8224788
3ary_276	5.2763023
3ary_286	8.807504
3ary_290	-1.8573991
3ary_292	6.2341795
3ary_298	5.896045
3ary_302	1.930944
3ary_304	3.883689
3ary_311	5.941686
3ary_317	4.291357
3ary_383	6.0682464
3ary_418	6.4611673
3ary_466	4.8749857
3ary_487	13.053398
3ary_499	8.878964
3ary_503	6.9036593
3ary_513	8.042232
3ary_515	5.415055
3ary_540	11.953991
3ary_547	5.7538986
3ary_548	13.734435
3ary_556	13.961678
3ary_558	23.737356
3ary_561	11.429517
3ary_580	10.532109
3ary_627	10.852255
3ary_648	12.50326
3ary_650	9.32297
3ary_663	7.452442
3ary_687	10.897175
3ary_702	9.651657
3ary_71	4.5382795
3ary_723	8.755008
3ary_727	8.007846
3ary_729	8.375572
3ary_730	9.526046
3ary_731	7.515919
3ary_735	10.044859
3ary_736	8.519368
3ary_739	9.833952
3ary_740	5.275276
3ary_744	10.474048
3ary_750	8.646715
3ary_751	8.443488
3ary_754	7.4796553
3ary_762	8.482967
3ary_763	9.009188
3ary_765	11.159934
3ary_770	9.5317745
3ary_772	10.160108
3ary_773	8.742341
3ary_774	10.004402
3ary_775	10.6912
3ary_778	8.551798
3ary_797	9.008085
3ary_799	9.670132
3ary_801	5.9627476
3ary_805	7.7623267
3ary_826	7.239675
3ary_828	8.51498
3ary_832	8.761485
3ary_837	9.31636
3ary_844	8.98406
3ary_850	7.706058
3ary_858	9.758978
3ary_861	8.39594
3ary_864	11.47894
3ary_866	9.340217
3ary_880	10.698807
3ary_884	-0.107282475
3ary_943	7.5649643
3ary_953	6.313928
3ary_968	11.879655
3ary_976	9.712033
3ary_979	8.366272
3ary_981	8.154662
3ary_ligand	4.7574744
