#code	score
3coz_103	7.221391
3coz_108	4.100761
3coz_112	6.362763
3coz_117	4.6112127
3coz_128	6.3869314
3coz_136	-0.7344832
3coz_141	4.578663
3coz_167	5.432071
3coz_173	5.1845512
3coz_176	7.5718355
3coz_17	4.2066197
3coz_203	4.173392
3coz_206	-3.9008229
3coz_20	10.836268
3coz_212	4.9965086
3coz_214	1.8629103
3coz_220	3.371596
3coz_221	2.666454
3coz_222	-3.5996773
3coz_238	-4.224477
3coz_247	-0.9129777
3coz_24	7.1434393
3coz_251	2.8623292
3coz_256	6.384301
3coz_263	2.3400006
3coz_282	-0.598744
3coz_285	6.950454
3coz_311	6.2344475
3coz_327	4.5118513
3coz_332	5.238222
3coz_347	4.937494
3coz_359	1.608757
3coz_35	9.676841
3coz_376	9.249523
3coz_388	-4.0620594
3coz_393	-2.3565845
3coz_401	5.7525487
3coz_405	10.949329
3coz_407	16.714111
3coz_413	25.32074
3coz_420	21.031292
3coz_421	21.773767
3coz_436	9.313945
3coz_43	9.419402
3coz_440	25.608683
3coz_459	13.822545
3coz_45	4.649792
3coz_464	31.92617
3coz_465	14.506827
3coz_468	32.074963
3coz_481	22.319174
3coz_489	15.359869
3coz_493	26.816364
3coz_515	19.428228
3coz_518	36.676304
3coz_523	23.153248
3coz_536	17.488894
3coz_539	33.339622
3coz_540	37.762608
3coz_543	10.04578
3coz_547	11.640761
3coz_548	17.814955
3coz_552	22.81069
3coz_557	25.9205
3coz_558	14.713971
3coz_55	6.875221
3coz_561	8.8088875
3coz_565	15.878426
3coz_567	58.97384
3coz_576	9.045458
3coz_577	17.402863
3coz_580	30.627775
3coz_593	19.188494
3coz_594	27.743685
3coz_59	4.852853
3coz_604	24.161398
3coz_605	21.622803
3coz_619	24.062708
3coz_620	24.946308
3coz_626	26.929047
3coz_628	32.054493
3coz_637	9.566504
3coz_642	24.184542
3coz_654	26.423704
3coz_657	28.133648
3coz_665	22.905107
3coz_668	23.639751
3coz_673	37.243034
3coz_67	3.5157259
3coz_680	22.026957
3coz_688	12.041175
3coz_691	20.98037
3coz_694	24.020624
3coz_696	22.218275
3coz_726	1.6246649
3coz_7	0.11346163
3coz_83	0.33514997
3coz_87	7.91218
3coz_894	4.760351
3coz_ligand	-3.3998725
