#code	score
3dd0_156	9.465099
3dd0_158	3.9018452
3dd0_161	7.5875854
3dd0_162	10.139392
3dd0_168	8.11454
3dd0_182	10.755624
3dd0_197	9.122369
3dd0_234	7.4954367
3dd0_238	3.0257196
3dd0_263	8.913612
3dd0_273	6.127894
3dd0_277	4.289605
3dd0_283	4.3029313
3dd0_298	5.009343
3dd0_314	6.1525054
3dd0_316	11.2317915
3dd0_360	9.960726
3dd0_378	6.1378584
3dd0_402	15.605214
3dd0_403	19.439482
3dd0_406	29.353848
3dd0_411	5.6817203
3dd0_42	7.0626616
3dd0_432	22.100399
3dd0_43	3.6218638
3dd0_441	16.837868
3dd0_451	7.40016
3dd0_455	14.693378
3dd0_478	16.519194
3dd0_479	12.636438
3dd0_47	5.3956275
3dd0_482	20.219013
3dd0_484	12.864803
3dd0_495	21.54065
3dd0_505	8.644101
3dd0_506	15.101384
3dd0_508	16.836342
3dd0_50	7.8378835
3dd0_510	30.66411
3dd0_553	12.815562
3dd0_567	13.274943
3dd0_570	13.906672
3dd0_572	17.662264
3dd0_582	15.083855
3dd0_585	14.326141
3dd0_595	7.5806847
3dd0_61	6.7579327
3dd0_642	11.551643
3dd0_645	5.0238214
3dd0_657	17.226612
3dd0_700	14.487378
3dd0_71	9.219382
3dd0_725	6.799878
3dd0_761	6.959416
3dd0_769	12.856102
3dd0_772	13.886166
3dd0_775	13.913341
3dd0_777	13.0788965
3dd0_787	11.804246
3dd0_788	12.038391
3dd0_796	10.84173
3dd0_821	6.730416
3dd0_868	8.296161
3dd0_869	11.91913
3dd0_886	9.207586
3dd0_892	9.76236
3dd0_895	10.070241
3dd0_897	10.8495455
3dd0_974	8.060791
3dd0_98	9.772971
3dd0_996	11.200894
3dd0_ligand	0.47968173
