#code	score
3ejr_10	4.3922534
3ejr_16	8.635136
3ejr_19	8.391825
3ejr_213	5.4549565
3ejr_217	5.0066977
3ejr_222	8.873571
3ejr_22	5.860685
3ejr_233	6.6089897
3ejr_236	5.5734954
3ejr_277	6.737535
3ejr_327	4.07298
3ejr_360	3.8382204
3ejr_401	27.128115
3ejr_417	7.659669
3ejr_419	37.787426
3ejr_428	11.634784
3ejr_443	16.834742
3ejr_457	10.341759
3ejr_459	16.77196
3ejr_469	16.104
3ejr_480	78.77874
3ejr_492	9.034261
3ejr_495	21.802168
3ejr_514	21.84738
3ejr_531	13.560988
3ejr_536	33.283966
3ejr_546	26.311306
3ejr_553	14.420146
3ejr_55	6.904766
3ejr_561	16.223171
3ejr_573	22.28734
3ejr_577	14.293213
3ejr_587	28.075565
3ejr_588	69.15734
3ejr_591	10.747389
3ejr_593	15.671481
3ejr_595	20.733368
3ejr_598	14.009097
3ejr_599	8.729397
3ejr_630	9.484712
3ejr_633	11.5871315
3ejr_635	7.01148
3ejr_644	15.401462
3ejr_655	17.16332
3ejr_663	16.571932
3ejr_673	12.654139
3ejr_676	10.803592
3ejr_682	12.760105
3ejr_683	10.59172
3ejr_686	12.25993
3ejr_690	7.2151947
3ejr_749	5.5574064
3ejr_758	5.184784
3ejr_759	8.0052805
3ejr_770	6.800306
3ejr_773	5.0349274
3ejr_776	4.104878
3ejr_778	4.6408286
3ejr_779	4.79671
3ejr_782	5.9157443
3ejr_784	7.4704976
3ejr_785	5.480765
3ejr_853	4.911424
3ejr_877	7.54685
3ejr_87	4.4356914
3ejr_883	9.764724
3ejr_941	8.4980545
3ejr_949	6.779031
3ejr_94	4.1931486
3ejr_964	5.155708
3ejr_ligand	4.300743
