#code	score
3f3c_223	8.22664
3f3c_256	5.777172
3f3c_258	5.4144726
3f3c_29	11.455115
3f3c_326	4.307217
3f3c_38	30.26895
3f3c_401	-4.1289296
3f3c_407	2.4779832
3f3c_411	9.402044
3f3c_413	8.599153
3f3c_419	10.933203
3f3c_430	13.993675
3f3c_442	11.644177
3f3c_453	18.736227
3f3c_456	20.652786
3f3c_458	17.957272
3f3c_459	14.7232895
3f3c_463	18.180984
3f3c_466	12.823181
3f3c_469	13.935857
3f3c_471	17.290033
3f3c_472	22.100843
3f3c_474	6.142165
3f3c_475	19.280844
3f3c_480	23.02513
3f3c_485	18.145481
3f3c_491	19.51591
3f3c_496	7.4629307
3f3c_499	9.483389
3f3c_507	13.451019
3f3c_508	12.724974
3f3c_510	16.081362
3f3c_523	10.927746
3f3c_542	14.913093
3f3c_544	12.728817
3f3c_545	13.942925
3f3c_555	12.383728
3f3c_572	19.54495
3f3c_585	18.335712
3f3c_586	18.04126
3f3c_587	14.95175
3f3c_599	22.44183
3f3c_628	14.905789
3f3c_635	18.320765
3f3c_665	14.6573925
3f3c_686	20.565798
3f3c_696	9.635323
3f3c_735	11.570194
3f3c_775	9.910955
3f3c_779	9.0467205
3f3c_788	22.386211
3f3c_789	22.699331
3f3c_790	23.780844
3f3c_791	22.535284
3f3c_792	22.537022
3f3c_799	13.747057
3f3c_ligand	-1.6227074
