#code	score
3f3e_107	-3.7253025
3f3e_122	-2.106846
3f3e_173	-2.519154
3f3e_174	1.6610507
3f3e_182	6.185842
3f3e_197	-4.5820785
3f3e_418	5.5037374
3f3e_422	12.919653
3f3e_427	6.919718
3f3e_429	6.69406
3f3e_435	5.2756968
3f3e_441	7.549975
3f3e_444	6.7675753
3f3e_447	17.448793
3f3e_451	9.606553
3f3e_457	0.43391138
3f3e_466	13.004615
3f3e_473	18.86936
3f3e_478	15.759571
3f3e_485	16.498554
3f3e_508	4.6681843
3f3e_511	11.990832
3f3e_527	7.838173
3f3e_565	7.94294
3f3e_569	14.506607
3f3e_579	20.78267
3f3e_582	10.604758
3f3e_586	11.383155
3f3e_587	12.034765
3f3e_591	14.412693
3f3e_594	10.655844
3f3e_630	15.873424
3f3e_634	15.061733
3f3e_635	13.022056
3f3e_638	17.46651
3f3e_662	16.417843
3f3e_688	4.6094146
3f3e_697	15.898593
3f3e_700	19.970598
3f3e_760	9.248163
3f3e_772	5.8685956
3f3e_773	6.1033916
3f3e_780	12.613238
3f3e_783	18.974733
3f3e_784	12.769339
3f3e_844	-0.4780803
3f3e_ligand	-4.677603
