#code	score
3g31_107	9.426523
3g31_109	9.469556
3g31_136	10.789438
3g31_210	7.19713
3g31_218	8.52415
3g31_246	8.311629
3g31_288	9.385613
3g31_339	7.309528
3g31_362	7.8197293
3g31_36	9.542382
3g31_392	7.794033
3g31_402	16.261196
3g31_405	14.438564
3g31_413	20.447744
3g31_416	39.592945
3g31_437	60.949806
3g31_442	115.390854
3g31_447	47.213005
3g31_448	15.317446
3g31_457	15.533714
3g31_461	96.61007
3g31_469	64.609055
3g31_472	19.399992
3g31_473	68.88897
3g31_474	34.90856
3g31_475	27.728737
3g31_478	9.53873
3g31_488	19.718904
3g31_496	34.508545
3g31_498	16.649063
3g31_499	18.96078
3g31_512	19.416449
3g31_526	10.26656
3g31_531	14.396098
3g31_532	9.446319
3g31_534	11.462354
3g31_535	19.820307
3g31_537	26.364883
3g31_556	15.27451
3g31_571	17.637419
3g31_580	9.587775
3g31_581	15.190536
3g31_582	10.5113735
3g31_584	10.877419
3g31_585	13.430819
3g31_588	15.147906
3g31_596	17.056017
3g31_644	16.50742
3g31_648	44.081654
3g31_652	10.4841795
3g31_653	12.869928
3g31_659	10.415429
3g31_663	36.45631
3g31_670	10.175588
3g31_673	27.502127
3g31_687	17.121208
3g31_692	45.729706
3g31_693	12.5138235
3g31_697	9.2849655
3g31_699	25.980352
3g31_700	12.077547
3g31_740	7.5567694
3g31_781	13.529964
3g31_785	10.57858
3g31_786	12.653141
3g31_791	9.601198
3g31_802	10.088647
3g31_ligand	6.8627467
