#code	score
3kgp_20	3.0752308
3kgp_31	2.3052769
3kgp_408	7.2547393
3kgp_420	6.71325
3kgp_431	13.16573
3kgp_434	13.777747
3kgp_457	20.314604
3kgp_465	21.213226
3kgp_475	9.9788885
3kgp_477	14.189085
3kgp_483	10.718012
3kgp_491	15.426512
3kgp_492	10.770947
3kgp_493	18.462969
3kgp_496	9.849149
3kgp_504	7.43274
3kgp_507	6.29721
3kgp_511	7.555558
3kgp_523	8.167532
3kgp_524	8.31988
3kgp_528	15.542454
3kgp_532	7.956797
3kgp_533	20.085005
3kgp_541	13.978733
3kgp_547	6.8481107
3kgp_551	12.593831
3kgp_568	7.726146
3kgp_573	7.4298797
3kgp_574	14.3317175
3kgp_591	10.102818
3kgp_596	10.370697
3kgp_5	4.4878736
3kgp_600	7.6507525
3kgp_610	18.982986
3kgp_657	13.073281
3kgp_661	11.32684
3kgp_687	13.45324
3kgp_693	14.49116
3kgp_696	12.62088
3kgp_700	12.159258
3kgp_715	4.9767475
3kgp_745	4.888576
3kgp_750	9.2976675
3kgp_757	2.7676325
3kgp_763	9.646768
3kgp_768	8.920933
3kgp_771	6.8540506
3kgp_776	7.0971184
3kgp_777	12.113435
3kgp_778	7.179356
3kgp_780	10.706961
3kgp_782	8.341265
3kgp_783	9.688195
3kgp_784	8.9138155
3kgp_785	9.030324
3kgp_786	9.267776
3kgp_787	9.307562
3kgp_788	9.396039
3kgp_789	9.0197
3kgp_790	7.0156326
3kgp_791	9.011808
3kgp_792	9.154637
3kgp_796	9.416547
3kgp_798	9.853706
3kgp_799	9.971236
3kgp_ligand	6.1143074
