#code	score
3p5o_104	2.6569366
3p5o_108	6.3050413
3p5o_114	-0.998447
3p5o_126	7.4049797
3p5o_141	6.4834127
3p5o_165	2.948814
3p5o_236	7.5940185
3p5o_238	3.9811087
3p5o_267	2.7753289
3p5o_287	-2.9117706
3p5o_413	61.49876
3p5o_414	44.207962
3p5o_424	45.81392
3p5o_427	24.089298
3p5o_429	22.887823
3p5o_439	59.780785
3p5o_440	31.149769
3p5o_442	27.356829
3p5o_443	81.20026
3p5o_452	57.835014
3p5o_456	76.308464
3p5o_457	52.51836
3p5o_462	115.83854
3p5o_467	36.35984
3p5o_471	26.729881
3p5o_510	18.437761
3p5o_513	9.084407
3p5o_517	26.485746
3p5o_518	11.500711
3p5o_521	16.097095
3p5o_531	22.597553
3p5o_538	29.641417
3p5o_540	31.991354
3p5o_543	15.108809
3p5o_551	11.1318445
3p5o_566	16.73309
3p5o_567	12.213032
3p5o_568	32.269196
3p5o_569	12.877365
3p5o_570	35.986534
3p5o_576	14.678005
3p5o_581	15.541475
3p5o_588	17.478634
3p5o_594	21.422937
3p5o_595	12.559019
3p5o_596	24.244656
3p5o_597	18.637129
3p5o_632	23.347885
3p5o_650	51.07601
3p5o_652	19.466208
3p5o_658	18.24204
3p5o_679	23.929735
3p5o_680	10.508997
3p5o_686	37.592342
3p5o_689	33.961143
3p5o_690	18.53363
3p5o_692	29.713146
3p5o_694	15.67027
3p5o_695	35.842003
3p5o_700	31.902445
3p5o_724	12.517317
3p5o_737	6.7868285
3p5o_752	9.521745
3p5o_759	-3.0956075
3p5o_818	1.0768445
3p5o_835	4.4035015
3p5o_840	3.2153566
3p5o_853	1.5319352
3p5o_926	4.2848263
3p5o_93	-2.3785589
3p5o_ligand	-5.319617
