#code	score
3u8n_441	12.398218
3u8n_443	12.644311
3u8n_464	19.167677
3u8n_468	7.9458003
3u8n_471	21.604277
3u8n_477	19.134626
3u8n_482	15.071822
3u8n_498	18.54467
3u8n_509	13.777517
3u8n_516	14.629974
3u8n_529	12.840755
3u8n_531	14.808467
3u8n_542	13.465317
3u8n_557	13.072148
3u8n_576	13.324449
3u8n_581	13.017011
3u8n_622	17.521854
3u8n_648	13.540056
3u8n_662	21.595797
3u8n_675	13.521078
3u8n_691	23.383198
3u8n_693	11.232475
3u8n_704	5.067662
3u8n_713	2.5767798
3u8n_718	4.8166924
3u8n_724	9.118689
3u8n_733	8.789907
3u8n_735	7.937159
3u8n_763	12.694198
3u8n_764	17.634277
3u8n_773	13.935813
3u8n_774	11.730139
3u8n_778	11.100464
3u8n_779	8.875218
3u8n_780	10.643597
3u8n_784	17.879469
3u8n_785	15.033926
3u8n_787	17.378235
3u8n_788	17.683321
3u8n_789	14.29087
3u8n_790	15.800774
3u8n_791	26.227425
3u8n_792	18.343893
3u8n_794	15.479901
3u8n_798	21.849676
3u8n_816	3.5675776
3u8n_822	-0.4460722
3u8n_850	5.216762
3u8n_869	6.709615
3u8n_874	9.299576
3u8n_893	11.840197
3u8n_894	6.224138
3u8n_915	-0.038694102
3u8n_928	3.477939
3u8n_929	5.126612
3u8n_963	3.252851
3u8n_971	5.381282
3u8n_974	8.058851
3u8n_981	2.447978
3u8n_991	10.738939
3u8n_998	10.088175
3u8n_ligand	-5.6776824
