#code	score
4agn_109	7.7255363
4agn_125	11.982599
4agn_204	5.326883
4agn_205	5.4699626
4agn_226	11.271204
4agn_228	4.7428484
4agn_251	4.812611
4agn_257	1.1269649
4agn_266	7.5231915
4agn_267	5.026891
4agn_272	5.0485716
4agn_280	4.358498
4agn_290	6.556227
4agn_299	6.7891164
4agn_318	9.150261
4agn_380	11.629217
4agn_402	35.024586
4agn_405	22.910152
4agn_411	28.696848
4agn_415	27.209795
4agn_425	28.632584
4agn_43	8.595973
4agn_446	27.843962
4agn_447	42.293423
4agn_456	40.975227
4agn_463	44.714844
4agn_477	57.374367
4agn_494	27.272602
4agn_498	31.694096
4agn_4	6.1851616
4agn_502	15.2604475
4agn_505	12.621462
4agn_506	7.4370627
4agn_511	35.38553
4agn_516	27.496702
4agn_517	11.226093
4agn_519	11.148779
4agn_524	27.895992
4agn_526	14.538404
4agn_535	23.609056
4agn_536	28.296337
4agn_538	13.998357
4agn_539	22.904957
4agn_540	11.132974
4agn_542	19.376593
4agn_554	19.96282
4agn_555	5.0009294
4agn_557	26.580265
4agn_561	18.250986
4agn_566	14.470144
4agn_567	17.85557
4agn_568	41.377945
4agn_579	15.765396
4agn_582	20.882969
4agn_591	35.592396
4agn_593	12.399327
4agn_595	25.419174
4agn_596	22.144403
4agn_597	21.650694
4agn_603	12.39531
4agn_608	29.921618
4agn_629	8.487581
4agn_633	16.278095
4agn_643	9.422024
4agn_644	17.031311
4agn_657	30.08162
4agn_659	13.503202
4agn_660	10.1135235
4agn_664	26.47902
4agn_665	24.629576
4agn_669	17.866825
4agn_670	17.366156
4agn_677	14.041316
4agn_678	15.16197
4agn_681	25.938587
4agn_682	13.0693245
4agn_687	34.688828
4agn_690	30.670147
4agn_691	12.017905
4agn_712	10.254389
4agn_715	3.2290206
4agn_727	7.3557906
4agn_754	6.8218627
4agn_765	7.2493553
4agn_768	9.356942
4agn_76	7.9398637
4agn_772	7.5177255
4agn_785	10.954953
4agn_78	8.709956
4agn_833	9.197248
4agn_844	5.828896
4agn_855	8.030578
4agn_931	5.1210876
4agn_979	6.8097
4agn_984	7.5056143
4agn_987	5.3739953
4agn_ligand	3.5669837
