#code	score
4cig_106	9.194576
4cig_114	8.734479
4cig_122	11.81459
4cig_129	11.832675
4cig_131	8.294497
4cig_13	6.218002
4cig_167	11.169806
4cig_169	7.6976986
4cig_18	4.381437
4cig_203	5.911662
4cig_219	4.993712
4cig_22	3.9914804
4cig_241	5.9089274
4cig_253	8.825605
4cig_265	7.8425846
4cig_267	9.265517
4cig_285	4.947385
4cig_290	5.2993226
4cig_298	10.965983
4cig_329	6.3915854
4cig_342	4.8611784
4cig_351	5.62704
4cig_369	10.016949
4cig_372	5.7436376
4cig_386	7.2174296
4cig_44	6.386391
4cig_454	57.260727
4cig_480	43.829918
4cig_510	18.376715
4cig_524	16.276785
4cig_540	10.672721
4cig_545	14.117988
4cig_553	34.17594
4cig_56	4.9910336
4cig_570	12.468109
4cig_575	44.81368
4cig_589	12.89496
4cig_600	8.9037285
4cig_601	19.53679
4cig_639	14.401842
4cig_641	59.694057
4cig_645	24.385292
4cig_656	30.092703
4cig_669	11.822204
4cig_702	8.586112
4cig_707	7.5145493
4cig_710	7.0770864
4cig_716	7.32564
4cig_719	6.806103
4cig_738	9.034636
4cig_739	8.24837
4cig_750	6.8867283
4cig_759	5.7806077
4cig_762	8.412067
4cig_763	8.52304
4cig_766	8.144925
4cig_769	8.298502
4cig_770	8.213383
4cig_774	8.023725
4cig_780	8.502676
4cig_784	5.8729615
4cig_786	8.86992
4cig_787	7.9946837
4cig_788	9.303078
4cig_809	6.7946362
4cig_83	7.8996325
4cig_848	7.952108
4cig_851	9.811104
4cig_852	6.8099184
4cig_860	6.806247
4cig_929	8.248997
4cig_947	7.6509576
4cig_950	4.597463
4cig_956	6.3124814
4cig_957	8.565512
4cig_98	8.275557
4cig_ligand	-4.2447047
