#code	score
4hge_202	3.6447268
4hge_203	-0.53808767
4hge_231	-6.504906
4hge_310	-6.716965
4hge_311	6.4931364
4hge_356	-1.2983948
4hge_407	2.8272786
4hge_414	15.089572
4hge_416	0.3216502
4hge_422	21.440897
4hge_423	12.503834
4hge_424	31.116255
4hge_433	12.389113
4hge_437	11.971191
4hge_438	9.257613
4hge_446	23.22063
4hge_452	12.444045
4hge_456	6.4133363
4hge_458	12.444345
4hge_462	10.006274
4hge_464	10.796019
4hge_468	10.380495
4hge_46	-4.990759
4hge_471	10.497955
4hge_473	7.9892774
4hge_477	17.354918
4hge_478	5.314056
4hge_498	10.669251
4hge_503	-5.4054337
4hge_530	6.777638
4hge_534	13.383978
4hge_543	13.33893
4hge_548	5.2137218
4hge_549	15.116703
4hge_555	11.0304785
4hge_558	18.644451
4hge_559	12.770184
4hge_55	-2.1584935
4hge_572	17.484974
4hge_573	11.781946
4hge_574	14.583635
4hge_581	13.456401
4hge_583	15.006155
4hge_602	14.234598
4hge_605	6.5241714
4hge_612	1.9972668
4hge_617	19.211132
4hge_621	6.6489606
4hge_638	4.688897
4hge_643	10.0850935
4hge_646	11.49889
4hge_654	9.3708725
4hge_655	13.531393
4hge_659	13.504169
4hge_662	9.800261
4hge_666	20.054157
4hge_667	8.29423
4hge_671	14.516734
4hge_689	27.61945
4hge_692	14.7447195
4hge_695	13.915409
4hge_699	10.473685
4hge_700	12.945711
4hge_737	5.1436367
4hge_742	4.544937
4hge_749	7.052895
4hge_797	5.0789747
4hge_828	5.1436367
4hge_848	7.052895
4hge_943	2.9590619
4hge_ligand	-8.568948
