#code	score
4ih7_129	11.755724
4ih7_12	3.7656875
4ih7_133	7.5093937
4ih7_159	9.522887
4ih7_212	4.882773
4ih7_219	6.5005927
4ih7_241	3.645567
4ih7_302	5.1999373
4ih7_307	6.3366866
4ih7_341	4.2506404
4ih7_351	6.675801
4ih7_378	7.137907
4ih7_405	5.305532
4ih7_412	12.1725235
4ih7_414	15.83841
4ih7_415	6.0138416
4ih7_438	8.483146
4ih7_459	14.044391
4ih7_461	10.80954
4ih7_477	9.86044
4ih7_481	11.095345
4ih7_483	11.441659
4ih7_501	8.76141
4ih7_504	4.7191167
4ih7_519	8.549179
4ih7_522	15.481954
4ih7_523	11.821459
4ih7_527	14.821211
4ih7_529	12.364412
4ih7_539	14.961779
4ih7_548	13.708288
4ih7_552	7.499772
4ih7_555	12.313326
4ih7_560	9.32511
4ih7_561	13.247819
4ih7_563	13.155516
4ih7_564	10.670203
4ih7_565	9.7
4ih7_567	14.429296
4ih7_570	9.3131895
4ih7_572	12.906277
4ih7_577	16.845905
4ih7_583	20.743116
4ih7_591	6.890954
4ih7_596	15.614895
4ih7_597	14.086618
4ih7_598	29.186138
4ih7_600	7.95552
4ih7_632	12.777936
4ih7_645	12.366465
4ih7_650	14.305073
4ih7_661	9.315454
4ih7_671	14.188847
4ih7_704	7.4447193
4ih7_729	8.780316
4ih7_72	7.0060215
4ih7_734	6.8298635
4ih7_739	5.888811
4ih7_742	8.28417
4ih7_743	5.9106894
4ih7_748	7.0270386
4ih7_749	5.363825
4ih7_755	6.2503443
4ih7_760	7.9225726
4ih7_777	6.42173
4ih7_788	7.126763
4ih7_789	7.7936077
4ih7_794	11.384637
4ih7_796	6.3135376
4ih7_822	8.152869
4ih7_829	6.121808
4ih7_877	5.690994
4ih7_880	9.516135
4ih7_885	7.764
4ih7_937	9.131664
4ih7_940	8.65552
4ih7_980	7.289482
4ih7_ligand	2.877132
