#code	score
4j3l_115	-5.531348
4j3l_140	3.2164054
4j3l_202	-6.212843
4j3l_286	-6.190004
4j3l_348	-6.3679
4j3l_352	-7.298843
4j3l_404	11.751371
4j3l_413	17.452152
4j3l_422	10.537293
4j3l_433	14.667213
4j3l_435	12.799125
4j3l_440	20.262962
4j3l_446	26.069212
4j3l_449	22.52475
4j3l_455	20.799643
4j3l_468	13.957037
4j3l_473	40.417957
4j3l_475	26.208654
4j3l_479	26.574348
4j3l_485	25.000967
4j3l_489	6.460854
4j3l_490	16.977255
4j3l_523	17.03344
4j3l_536	8.308493
4j3l_547	18.048166
4j3l_561	12.079269
4j3l_574	15.5144005
4j3l_585	34.59722
4j3l_597	12.909199
4j3l_620	16.574347
4j3l_632	25.194489
4j3l_635	18.549282
4j3l_636	14.2073765
4j3l_647	11.065124
4j3l_650	17.394005
4j3l_656	10.595552
4j3l_662	19.109236
4j3l_673	31.260225
4j3l_677	19.665783
4j3l_684	13.638424
4j3l_696	10.353487
4j3l_699	18.523941
4j3l_700	19.922617
4j3l_732	4.2115455
4j3l_733	1.4659294
4j3l_739	3.5848768
4j3l_746	-1.3331633
4j3l_749	-0.8204947
4j3l_755	3.3682504
4j3l_761	2.1799262
4j3l_774	8.112593
4j3l_775	6.5280066
4j3l_776	7.4370475
4j3l_777	6.394985
4j3l_782	6.1103144
4j3l_784	7.1340013
4j3l_786	7.908321
4j3l_793	-2.6077693
4j3l_858	4.071761
4j3l_871	3.8710582
4j3l_888	3.9817352
4j3l_991	-2.9193182
4j3l_ligand	-7.568593
