#code	score
4u4s_120	11.546405
4u4s_122	8.573561
4u4s_127	10.576957
4u4s_128	9.56661
4u4s_138	10.08542
4u4s_143	11.687445
4u4s_14	5.5362096
4u4s_152	11.274902
4u4s_153	10.070491
4u4s_173	6.4411297
4u4s_230	4.4641623
4u4s_232	8.074927
4u4s_251	9.330449
4u4s_261	6.0536027
4u4s_26	5.4107947
4u4s_271	5.9296474
4u4s_272	6.1853313
4u4s_293	3.829811
4u4s_36	5.488589
4u4s_412	5.2448153
4u4s_427	7.9525313
4u4s_428	4.553324
4u4s_429	7.8327913
4u4s_430	7.3406024
4u4s_435	6.7367206
4u4s_440	11.468426
4u4s_449	8.624933
4u4s_456	15.921199
4u4s_460	16.113535
4u4s_462	6.415308
4u4s_464	12.6615925
4u4s_468	10.731798
4u4s_484	11.301522
4u4s_485	17.086765
4u4s_490	12.45489
4u4s_492	13.689114
4u4s_497	9.143213
4u4s_500	15.678671
4u4s_509	13.844373
4u4s_523	8.964822
4u4s_526	14.487577
4u4s_537	15.885685
4u4s_540	15.560032
4u4s_547	17.334566
4u4s_550	18.488735
4u4s_551	12.636348
4u4s_555	15.505936
4u4s_557	17.440655
4u4s_586	19.957067
4u4s_589	13.3463
4u4s_595	10.568819
4u4s_597	16.337023
4u4s_598	18.944708
4u4s_609	17.01296
4u4s_613	12.857184
4u4s_624	13.765479
4u4s_637	11.068265
4u4s_638	17.810953
4u4s_640	10.659144
4u4s_641	21.550346
4u4s_642	10.46723
4u4s_644	13.841784
4u4s_646	14.945338
4u4s_647	14.22463
4u4s_654	9.429847
4u4s_658	12.463864
4u4s_659	14.819919
4u4s_665	13.096228
4u4s_668	17.628458
4u4s_670	9.05772
4u4s_671	19.421385
4u4s_675	16.438133
4u4s_682	13.218652
4u4s_689	20.739172
4u4s_69	8.425633
4u4s_719	6.3886228
4u4s_71	3.8900406
4u4s_720	5.24273
4u4s_726	6.801178
4u4s_727	5.9895816
4u4s_730	9.252602
4u4s_764	5.6396523
4u4s_765	6.068253
4u4s_766	6.0124373
4u4s_767	6.162975
4u4s_768	8.025523
4u4s_772	8.424063
4u4s_776	14.167651
4u4s_787	7.078396
4u4s_835	7.2436423
4u4s_842	6.8282943
4u4s_855	7.556376
4u4s_863	9.620066
4u4s_927	5.40929
4u4s_958	6.6975226
4u4s_962	6.7666254
4u4s_965	7.779013
4u4s_969	5.8665094
4u4s_971	5.302186
4u4s_ligand	3.2211902
