#code	score
4x6p_106	8.474081
4x6p_114	7.050561
4x6p_121	9.484742
4x6p_125	3.8127487
4x6p_142	-4.968414
4x6p_147	9.420711
4x6p_170	9.842127
4x6p_18	8.055856
4x6p_195	6.443088
4x6p_197	11.83987
4x6p_201	3.3625073
4x6p_203	3.1847389
4x6p_204	5.2544866
4x6p_214	3.7639318
4x6p_215	2.8859518
4x6p_221	7.375282
4x6p_224	3.0885773
4x6p_231	0.7422787
4x6p_254	4.6964326
4x6p_25	8.646068
4x6p_265	8.774164
4x6p_277	7.1642685
4x6p_300	0.3986976
4x6p_304	3.4941459
4x6p_312	-7.064775
4x6p_316	7.118051
4x6p_324	-8.661988
4x6p_33	5.5972133
4x6p_344	-5.5857625
4x6p_346	3.338352
4x6p_380	4.438035
4x6p_381	-0.39501777
4x6p_398	4.738865
4x6p_401	36.414654
4x6p_407	26.124779
4x6p_421	36.159878
4x6p_426	28.071295
4x6p_427	24.22325
4x6p_432	45.19302
4x6p_438	22.465065
4x6p_439	20.382507
4x6p_441	22.064775
4x6p_448	61.584866
4x6p_454	21.018461
4x6p_463	53.488323
4x6p_481	32.9399
4x6p_486	31.585201
4x6p_504	21.399454
4x6p_513	15.062325
4x6p_518	64.91988
4x6p_521	31.788809
4x6p_528	34.247864
4x6p_532	39.957726
4x6p_533	70.501625
4x6p_544	33.548405
4x6p_548	18.518461
4x6p_549	29.237267
4x6p_550	25.421062
4x6p_551	10.753826
4x6p_553	36.888657
4x6p_555	11.915954
4x6p_559	23.626375
4x6p_568	12.846972
4x6p_570	7.998688
4x6p_571	22.20098
4x6p_577	36.31752
4x6p_579	26.38649
4x6p_583	22.153864
4x6p_592	12.446577
4x6p_596	18.433811
4x6p_612	17.447346
4x6p_620	16.100716
4x6p_621	35.54301
4x6p_623	21.962328
4x6p_636	37.578754
4x6p_637	27.955524
4x6p_642	27.628946
4x6p_644	29.819166
4x6p_646	25.417349
4x6p_649	33.190872
4x6p_650	33.94206
4x6p_653	38.664757
4x6p_657	15.551097
4x6p_665	16.414848
4x6p_666	27.452137
4x6p_667	29.590012
4x6p_668	20.745192
4x6p_674	25.68762
4x6p_688	29.047201
4x6p_689	22.603657
4x6p_693	34.202477
4x6p_696	24.180696
4x6p_706	-5.2543583
4x6p_820	5.1265407
4x6p_835	-6.4828753
4x6p_876	4.905964
4x6p_889	-4.6542106
4x6p_89	9.519466
4x6p_97	4.8315153
4x6p_98	6.107228
4x6p_ligand	-8.769075
