#code	score
1gpn_109	7.123248
1gpn_252	5.0890493
1gpn_299	2.8070529
1gpn_330	5.113958
1gpn_401	6.8817973
1gpn_404	11.706883
1gpn_405	7.6321864
1gpn_407	9.255555
1gpn_422	7.7981944
1gpn_435	10.646635
1gpn_443	15.092791
1gpn_446	13.400188
1gpn_451	9.630767
1gpn_459	14.470164
1gpn_466	6.197955
1gpn_471	16.243176
1gpn_475	16.577656
1gpn_477	13.999197
1gpn_481	25.733227
1gpn_483	13.2118635
1gpn_490	10.083501
1gpn_549	12.44795
1gpn_551	20.494331
1gpn_553	19.951773
1gpn_555	12.95055
1gpn_556	13.280002
1gpn_578	18.975328
1gpn_589	17.449455
1gpn_596	13.378456
1gpn_600	12.477574
1gpn_615	14.549123
1gpn_617	13.323034
1gpn_61	8.608746
1gpn_638	12.749743
1gpn_653	15.235658
1gpn_657	16.471931
1gpn_658	15.310324
1gpn_662	12.303159
1gpn_675	13.78459
1gpn_682	12.475936
1gpn_683	21.900583
1gpn_684	16.0972
1gpn_689	16.120363
1gpn_759	8.301991
1gpn_768	12.940205
1gpn_775	14.384844
1gpn_779	13.118244
1gpn_781	12.832008
1gpn_782	14.091352
1gpn_784	16.393547
1gpn_785	13.508624
1gpn_786	17.331356
1gpn_794	36.132843
1gpn_796	30.068851
1gpn_868	7.2498136
1gpn_885	10.127966
