#code	score
1nvq_402	30.872168
1nvq_405	3.5098348
1nvq_410	14.379003
1nvq_412	12.220196
1nvq_424	60.34854
1nvq_427	14.137703
1nvq_431	35.24916
1nvq_439	23.667458
1nvq_444	29.951834
1nvq_446	17.11724
1nvq_451	27.404263
1nvq_461	26.204836
1nvq_464	21.145905
1nvq_473	35.219532
1nvq_477	25.949627
1nvq_481	53.5084
1nvq_490	31.313
1nvq_491	47.062687
1nvq_498	17.753899
1nvq_500	32.892197
1nvq_513	14.737223
1nvq_522	12.020954
1nvq_524	3.4733431
1nvq_543	12.253294
1nvq_548	13.248627
1nvq_553	11.384821
1nvq_555	13.1232605
1nvq_559	6.175945
1nvq_564	10.89825
1nvq_566	12.985517
1nvq_573	14.276323
1nvq_583	18.209442
1nvq_588	13.500942
1nvq_600	34.014412
1nvq_605	10.890117
1nvq_606	15.273739
1nvq_632	13.878372
1nvq_634	17.47084
1nvq_672	20.935986
1nvq_674	27.856398
1nvq_687	5.903362
1nvq_689	23.17381
1nvq_692	17.609348
1nvq_708	-5.628909
1nvq_710	-5.844161
1nvq_723	-5.068401
1nvq_731	0.99152637
1nvq_738	-1.7930065
1nvq_740	10.09886
1nvq_742	-3.5128882
1nvq_743	-1.4871464
1nvq_745	-1.22534
1nvq_746	1.6116219
1nvq_747	10.1108675
1nvq_752	5.242234
1nvq_759	7.8691397
1nvq_760	8.029491
1nvq_761	8.09619
1nvq_762	8.93467
1nvq_765	5.8969426
1nvq_766	8.230582
1nvq_767	9.036897
1nvq_770	12.136805
1nvq_771	11.896954
1nvq_772	6.41549
1nvq_775	9.1864605
1nvq_776	12.987503
1nvq_777	12.721873
1nvq_778	7.5712013
1nvq_783	11.009222
1nvq_867	-4.5295224
1nvq_871	3.5934765
1nvq_885	7.094777
1nvq_927	-5.036791
1nvq_940	-6.5351515
