#code	score
1o3f_112	6.162431
1o3f_125	6.9222846
1o3f_126	8.138316
1o3f_144	5.920195
1o3f_145	6.050856
1o3f_148	7.4198165
1o3f_152	6.504115
1o3f_162	5.9624968
1o3f_163	4.8626885
1o3f_168	7.2566853
1o3f_173	14.57997
1o3f_175	5.6118016
1o3f_185	4.561184
1o3f_191	11.178232
1o3f_242	8.490795
1o3f_246	9.351568
1o3f_247	10.830401
1o3f_257	6.130435
1o3f_265	8.800049
1o3f_372	-4.4138827
1o3f_407	12.684047
1o3f_417	14.4399395
1o3f_423	9.717947
1o3f_445	13.919577
1o3f_446	20.015572
1o3f_449	19.9355
1o3f_458	5.2039495
1o3f_460	17.689272
1o3f_463	15.30096
1o3f_464	8.734975
1o3f_472	11.963966
1o3f_482	16.087801
1o3f_485	8.553941
1o3f_489	16.34212
1o3f_490	28.750994
1o3f_494	18.07603
1o3f_495	5.0301857
1o3f_498	14.555529
1o3f_501	11.529605
1o3f_503	10.935636
1o3f_504	3.8100421
1o3f_506	11.000648
1o3f_507	7.565334
1o3f_526	14.580091
1o3f_530	8.48828
1o3f_538	1.7825453
1o3f_547	15.233353
1o3f_558	9.741067
1o3f_563	10.33615
1o3f_566	29.30572
1o3f_572	8.480097
1o3f_582	11.866821
1o3f_588	34.994537
1o3f_591	14.710292
1o3f_595	9.290933
1o3f_598	5.1454387
1o3f_624	5.436848
1o3f_64	13.6728115
1o3f_668	13.20595
1o3f_669	19.35566
1o3f_670	9.294106
1o3f_672	20.621943
1o3f_690	18.879993
1o3f_693	11.507803
1o3f_696	20.21025
1o3f_700	19.106136
1o3f_752	-0.92306805
1o3f_798	1.4203335
1o3f_910	-0.22594854
1o3f_931	-2.81183
1o3f_94	12.429693
