#code	score
1oyt_24	7.347901
1oyt_401	27.311016
1oyt_405	16.683432
1oyt_412	31.453331
1oyt_414	20.484005
1oyt_423	27.683102
1oyt_425	42.36732
1oyt_437	40.625813
1oyt_448	33.28888
1oyt_449	26.17755
1oyt_451	34.639935
1oyt_454	14.48069
1oyt_455	15.196235
1oyt_463	31.972628
1oyt_468	13.621106
1oyt_475	52.309456
1oyt_477	77.67253
1oyt_481	9.793849
1oyt_484	31.530422
1oyt_493	23.840221
1oyt_505	15.625904
1oyt_506	13.874143
1oyt_507	12.659702
1oyt_513	15.030954
1oyt_521	13.8963785
1oyt_524	16.408636
1oyt_527	18.716135
1oyt_529	26.494757
1oyt_530	7.250562
1oyt_542	11.997147
1oyt_551	11.64323
1oyt_553	13.648072
1oyt_558	17.37787
1oyt_559	11.17977
1oyt_561	16.502575
1oyt_564	14.435152
1oyt_569	17.536339
1oyt_572	22.634344
1oyt_575	11.344563
1oyt_582	23.580652
1oyt_586	11.983525
1oyt_599	7.4352202
1oyt_59	1.9011189
1oyt_603	24.600636
1oyt_612	11.968335
1oyt_621	25.531319
1oyt_623	18.364944
1oyt_627	18.467415
1oyt_637	21.110281
1oyt_639	30.426792
1oyt_644	27.220299
1oyt_647	11.472168
1oyt_64	2.235692
1oyt_651	18.46344
1oyt_658	19.332966
1oyt_663	9.63258
1oyt_674	18.188555
1oyt_675	29.634583
1oyt_679	27.366095
1oyt_680	20.116564
1oyt_684	25.747658
1oyt_690	26.845022
1oyt_691	22.004896
1oyt_692	21.79429
1oyt_696	13.800142
1oyt_711	3.1435094
1oyt_749	7.459668
1oyt_789	4.2992253
1oyt_800	11.828526
1oyt_801	12.352324
1oyt_806	6.4040246
1oyt_838	9.060768
1oyt_842	13.979274
1oyt_843	11.899434
1oyt_853	9.281588
1oyt_915	4.9789004
1oyt_91	6.8381143
1oyt_947	3.7268038
