#code	score
1p1n_116	-3.3882387
1p1n_216	-0.5370859
1p1n_333	-3.1985269
1p1n_425	9.864892
1p1n_433	19.759697
1p1n_462	13.204214
1p1n_465	7.722011
1p1n_482	6.3867416
1p1n_489	9.859881
1p1n_493	0.9096735
1p1n_500	14.794349
1p1n_530	14.433921
1p1n_548	13.128406
1p1n_550	21.832647
1p1n_562	11.558455
1p1n_569	8.10275
1p1n_574	12.77438
1p1n_586	13.742239
1p1n_606	12.879351
1p1n_646	18.685146
1p1n_650	15.474572
1p1n_660	12.472559
1p1n_668	12.254061
1p1n_675	10.949852
1p1n_685	13.010977
1p1n_687	9.218446
1p1n_699	12.615477
1p1n_708	-1.973185
1p1n_712	-5.5730624
1p1n_733	9.218968
1p1n_73	-4.5320153
1p1n_757	3.7908008
1p1n_765	7.896427
1p1n_780	6.9462514
1p1n_785	7.52791
1p1n_78	-5.313823
1p1n_825	-2.4837976
1p1n_883	8.494878
1p1n_892	5.102129
1p1n_917	0.33367032
1p1n_928	-3.5400767
1p1n_971	-3.7327135
1p1n_9	-5.1369433
