#code	score
1ydt_1000	2.5968947
1ydt_121	-8.871321
1ydt_204	-8.206788
1ydt_207	-7.7394185
1ydt_214	-5.3411746
1ydt_215	-6.0371733
1ydt_241	-8.088182
1ydt_246	1.4851651
1ydt_251	-7.6697416
1ydt_253	6.5658555
1ydt_254	5.7760196
1ydt_260	3.679084
1ydt_263	-3.609973
1ydt_267	-5.345533
1ydt_271	5.1109567
1ydt_275	4.5452504
1ydt_277	-8.1400175
1ydt_278	7.794207
1ydt_279	-6.719223
1ydt_281	-5.6319184
1ydt_283	-0.32771367
1ydt_300	9.221581
1ydt_309	-0.25446776
1ydt_324	-7.3727145
1ydt_34	-4.530245
1ydt_386	-8.273318
1ydt_401	6.3867564
1ydt_404	12.1363125
1ydt_408	11.265382
1ydt_40	-5.324024
1ydt_412	22.560785
1ydt_417	23.096544
1ydt_425	21.750923
1ydt_432	18.746927
1ydt_446	25.633629
1ydt_464	22.22142
1ydt_46	1.9790246
1ydt_470	17.710814
1ydt_474	13.784758
1ydt_47	-9.312208
1ydt_483	8.989403
1ydt_487	16.645966
1ydt_494	13.965671
1ydt_495	16.965328
1ydt_500	16.061623
1ydt_532	16.766277
1ydt_538	18.597942
1ydt_539	15.342941
1ydt_549	20.486006
1ydt_556	18.991825
1ydt_558	13.712484
1ydt_564	16.58795
1ydt_576	27.92571
1ydt_578	24.869871
1ydt_609	14.406062
1ydt_625	14.460437
1ydt_632	27.895897
1ydt_643	22.75008
1ydt_644	17.303299
1ydt_655	15.064527
1ydt_659	24.513935
1ydt_677	19.848452
1ydt_678	26.289776
1ydt_684	14.389456
1ydt_694	18.696922
1ydt_697	21.470787
1ydt_705	-7.9518294
1ydt_709	2.9217966
1ydt_711	-7.0233254
1ydt_715	5.2006035
1ydt_730	8.812904
1ydt_750	9.546622
1ydt_75	1.3356557
1ydt_766	5.0627627
1ydt_775	8.696155
1ydt_785	9.283819
1ydt_787	3.5271733
1ydt_817	-10.036329
1ydt_818	9.669973
1ydt_832	-6.343015
1ydt_837	6.607411
1ydt_840	-6.693558
1ydt_882	6.125359
1ydt_892	10.483232
1ydt_916	5.459018
1ydt_918	-3.0315306
1ydt_926	-0.55837303
1ydt_936	6.457119
1ydt_953	7.1355214
1ydt_994	9.318662
