#code	score
1z95_14	4.7938538
1z95_169	-4.6255345
1z95_208	-1.6585356
1z95_219	8.998819
1z95_223	0.7971843
1z95_249	6.461917
1z95_255	28.72101
1z95_266	5.226425
1z95_29	13.158417
1z95_303	-8.102139
1z95_312	-3.2696733
1z95_313	-4.9811606
1z95_337	-7.638895
1z95_407	43.694798
1z95_408	38.911415
1z95_412	21.001343
1z95_415	36.273853
1z95_418	46.385452
1z95_419	35.461018
1z95_427	43.964912
1z95_428	49.891605
1z95_436	38.638107
1z95_437	52.18228
1z95_444	33.08265
1z95_445	38.431446
1z95_449	46.877693
1z95_474	32.428413
1z95_483	57.03011
1z95_484	30.393105
1z95_486	48.75359
1z95_489	38.06824
1z95_490	38.50863
1z95_498	48.78248
1z95_499	21.024553
1z95_514	33.182568
1z95_544	25.602541
1z95_545	28.998167
1z95_547	30.502808
1z95_548	22.095802
1z95_550	26.641813
1z95_555	34.55243
1z95_560	23.696095
1z95_562	33.74283
1z95_565	20.772303
1z95_566	28.830793
1z95_581	38.655716
1z95_587	25.749666
1z95_590	22.755682
1z95_620	21.352953
1z95_626	27.208471
1z95_648	24.844011
1z95_658	24.272772
1z95_663	35.785175
1z95_666	39.313786
1z95_684	28.670435
1z95_686	28.647175
1z95_690	37.876637
1z95_694	36.2991
1z95_700	26.87935
1z95_742	4.5973763
1z95_765	9.622688
1z95_774	7.4448795
1z95_779	35.997837
1z95_827	7.5426745
1z95_872	10.141182
1z95_964	9.859537
