#code	score
2br1_118	8.025954
2br1_167	8.671072
2br1_195	15.456422
2br1_208	5.000681
2br1_228	12.635806
2br1_248	10.981308
2br1_257	6.9139285
2br1_315	-5.871593
2br1_316	-1.2889546
2br1_349	-4.7108088
2br1_354	-4.083553
2br1_356	-5.0659165
2br1_375	-5.672353
2br1_383	-0.34993753
2br1_392	-4.6823015
2br1_413	20.288225
2br1_416	23.076885
2br1_419	16.197115
2br1_430	45.17513
2br1_433	10.841986
2br1_455	20.547272
2br1_475	30.274096
2br1_479	16.251448
2br1_47	-3.8570004
2br1_502	4.5629687
2br1_511	6.658845
2br1_523	14.970189
2br1_524	11.34012
2br1_540	20.839191
2br1_543	12.0427
2br1_549	20.517206
2br1_554	11.864724
2br1_566	19.9819
2br1_572	11.55084
2br1_588	10.264656
2br1_598	30.202692
2br1_606	26.40352
2br1_621	21.71791
2br1_630	13.199773
2br1_649	23.146273
2br1_663	16.056583
2br1_666	8.921954
2br1_673	13.586373
2br1_675	24.261885
2br1_689	15.410127
2br1_694	7.336006
2br1_710	8.118333
2br1_723	5.5678935
2br1_744	5.3174815
2br1_746	8.634255
2br1_760	8.692381
2br1_762	4.827309
2br1_763	3.62205
2br1_764	4.132491
2br1_767	3.8240004
2br1_769	-0.30975178
2br1_789	7.18966
2br1_790	7.744017
2br1_831	6.5690603
2br1_835	3.3083782
2br1_850	6.200528
2br1_854	5.9624887
2br1_857	5.707448
2br1_866	1.8157375
2br1_873	1.4434341
2br1_879	4.302891
2br1_897	5.8240848
2br1_952	7.053352
2br1_966	9.513279
2br1_976	5.4452844
2br1_984	9.062529
2br1_988	7.865597
