#code	score
2yki_239	-5.8182244
2yki_363	-7.4987082
2yki_401	5.0316367
2yki_407	9.004229
2yki_408	15.194267
2yki_441	16.922312
2yki_455	21.4105
2yki_464	25.22478
2yki_476	24.574608
2yki_483	22.70216
2yki_486	24.510403
2yki_496	9.778224
2yki_515	25.703936
2yki_525	19.282967
2yki_529	19.307371
2yki_537	21.18711
2yki_549	14.455933
2yki_569	25.196737
2yki_573	18.302649
2yki_577	26.550446
2yki_57	-4.438569
2yki_588	25.821693
2yki_592	23.267996
2yki_594	26.928955
2yki_656	36.76081
2yki_660	11.236644
2yki_676	30.21188
2yki_678	30.113228
2yki_695	30.803753
2yki_701	-4.512608
2yki_716	4.8902617
2yki_719	8.279074
2yki_723	5.7644424
2yki_725	-1.4542272
2yki_729	7.4073224
2yki_734	6.329834
2yki_736	8.1885605
2yki_739	8.766469
2yki_742	10.189839
2yki_743	7.6112037
2yki_747	5.526413
2yki_748	9.608651
2yki_749	6.76988
2yki_750	8.37225
2yki_751	11.36194
2yki_753	10.060085
2yki_755	5.821996
2yki_756	10.4945755
2yki_757	10.725175
2yki_758	7.151632
2yki_759	8.53586
2yki_760	8.965917
2yki_761	8.289637
2yki_762	10.616949
2yki_764	12.495203
2yki_765	10.197134
2yki_766	15.071943
2yki_768	16.712803
2yki_770	20.055925
2yki_771	17.622087
2yki_773	18.670038
2yki_776	18.914467
2yki_777	29.13598
2yki_778	34.48865
2yki_780	17.261086
2yki_783	25.747742
2yki_787	36.24725
2yki_796	1.704356
2yki_814	7.4177537
2yki_816	5.144214
2yki_818	3.7193449
2yki_828	4.9076443
2yki_830	1.8916196
2yki_841	2.6029816
2yki_864	7.5320897
2yki_866	9.23568
2yki_869	5.819785
2yki_877	11.89143
2yki_879	5.9921007
2yki_880	10.578967
2yki_886	9.699899
2yki_893	-0.8356689
2yki_933	-5.2254357
2yki_982	7.108613
2yki_985	7.830704
