#code	score
3arp_103	-3.9312932
3arp_176	5.346831
3arp_17	-5.4550467
3arp_181	-5.6653876
3arp_190	6.1232214
3arp_198	6.0866666
3arp_203	8.963187
3arp_211	-4.4746985
3arp_214	0.487262
3arp_223	5.27193
3arp_227	5.695479
3arp_231	6.5811596
3arp_232	1.7915187
3arp_235	6.7991433
3arp_245	3.731597
3arp_248	0.10312061
3arp_252	-3.590519
3arp_254	-4.417094
3arp_255	3.1144943
3arp_258	4.073332
3arp_284	-4.6188154
3arp_289	-3.762572
3arp_290	2.4976227
3arp_299	-2.5137906
3arp_324	-5.641725
3arp_330	-0.60592794
3arp_333	-3.7014213
3arp_347	-4.8362164
3arp_353	5.5647817
3arp_357	-3.3643978
3arp_365	-5.4041843
3arp_367	-0.7351039
3arp_371	4.5000734
3arp_37	-5.6750226
3arp_380	5.933077
3arp_394	-4.182692
3arp_407	18.586098
3arp_419	27.20742
3arp_420	17.179976
3arp_425	45.09213
3arp_431	37.90632
3arp_447	52.810154
3arp_448	38.674145
3arp_449	38.592884
3arp_46	-2.1511934
3arp_496	26.730368
3arp_505	11.393148
3arp_509	8.205355
3arp_516	11.157198
3arp_517	17.954397
3arp_540	7.337847
3arp_549	21.201927
3arp_551	10.653051
3arp_558	14.971723
3arp_562	19.17304
3arp_570	14.102907
3arp_574	16.451508
3arp_575	15.174024
3arp_585	15.729416
3arp_605	15.408089
3arp_607	15.354125
3arp_615	25.610151
3arp_620	22.786886
3arp_623	23.362574
3arp_632	11.436834
3arp_641	13.20285
3arp_650	15.207846
3arp_653	33.543232
3arp_658	25.143686
3arp_671	27.815205
3arp_674	12.660452
3arp_679	12.82011
3arp_67	-6.531915
3arp_684	16.42675
3arp_6	-5.6621222
3arp_703	5.2121696
3arp_734	6.309444
3arp_73	-6.0080605
3arp_750	5.5333667
3arp_752	7.614244
3arp_781	6.845362
3arp_783	6.1586037
3arp_784	5.70696
3arp_785	7.6794596
3arp_787	8.478628
3arp_790	7.71453
3arp_89	-2.2686353
3arp_909	6.3273897
3arp_951	5.673516
3arp_963	7.129582
