#code	score
3coy_110	5.4331207
3coy_120	1.7866409
3coy_156	5.9272904
3coy_158	9.223918
3coy_163	8.946215
3coy_168	7.0675406
3coy_16	6.989314
3coy_185	14.1866455
3coy_189	8.465534
3coy_215	-0.4576227
3coy_224	2.169252
3coy_235	5.663273
3coy_252	3.1580954
3coy_254	0.55511117
3coy_258	6.709094
3coy_262	-0.74284524
3coy_276	5.480675
3coy_280	6.9303446
3coy_291	4.047215
3coy_293	7.016156
3coy_305	6.470012
3coy_31	2.5411062
3coy_339	5.223616
3coy_347	9.355982
3coy_355	0.8053674
3coy_359	6.7859583
3coy_373	3.8767302
3coy_384	-4.939968
3coy_395	4.122087
3coy_400	7.548856
3coy_416	24.423567
3coy_417	28.414398
3coy_422	29.515594
3coy_425	37.654644
3coy_444	33.883266
3coy_44	4.843972
3coy_455	21.628397
3coy_458	27.110535
3coy_460	21.527422
3coy_463	19.714972
3coy_464	49.574413
3coy_467	25.149036
3coy_468	28.33325
3coy_472	21.243166
3coy_476	15.001461
3coy_485	22.60487
3coy_498	24.019825
3coy_4	7.8348155
3coy_500	30.992563
3coy_510	19.356947
3coy_513	9.918697
3coy_522	24.238302
3coy_525	34.186783
3coy_528	19.370657
3coy_529	31.61088
3coy_541	15.669426
3coy_544	15.9422
3coy_545	30.429304
3coy_546	23.136637
3coy_547	66.76506
3coy_550	29.156233
3coy_553	13.331468
3coy_559	26.62218
3coy_562	21.563278
3coy_563	24.237911
3coy_566	14.90416
3coy_581	41.77423
3coy_582	26.362038
3coy_588	12.403082
3coy_589	15.839747
3coy_591	12.997876
3coy_593	30.458183
3coy_600	17.559862
3coy_610	25.632671
3coy_611	30.668959
3coy_619	55.076077
3coy_620	23.386564
3coy_623	24.737322
3coy_632	50.559597
3coy_634	25.3687
3coy_640	22.346003
3coy_650	21.28165
3coy_667	18.506475
3coy_66	6.6179724
3coy_675	25.151836
3coy_684	50.19147
3coy_685	31.258772
3coy_686	28.688665
3coy_693	32.745956
3coy_695	19.152517
3coy_733	4.258648
3coy_794	6.571648
3coy_834	1.3323743
