#code	score
3ebp_249	3.5929093
3ebp_251	6.678778
3ebp_261	3.5872068
3ebp_268	3.9269135
3ebp_340	4.4624815
3ebp_347	3.892164
3ebp_35	10.217062
3ebp_363	5.271689
3ebp_396	5.3694963
3ebp_411	56.500088
3ebp_425	24.123232
3ebp_433	10.264161
3ebp_447	40.001244
3ebp_464	30.530008
3ebp_467	17.43376
3ebp_473	25.010242
3ebp_476	20.046251
3ebp_493	33.085766
3ebp_495	18.31902
3ebp_496	17.886734
3ebp_497	26.020876
3ebp_4	6.9764953
3ebp_509	10.110373
3ebp_524	15.222894
3ebp_533	12.051261
3ebp_538	15.658711
3ebp_539	59.276222
3ebp_540	14.1678
3ebp_548	15.391332
3ebp_550	26.52358
3ebp_553	20.70739
3ebp_577	17.73682
3ebp_584	22.737349
3ebp_597	11.120626
3ebp_59	7.1050563
3ebp_607	17.774923
3ebp_611	16.337751
3ebp_627	13.309587
3ebp_632	23.411484
3ebp_658	14.90636
3ebp_676	8.45642
3ebp_686	12.131758
3ebp_690	24.069395
3ebp_691	14.804745
3ebp_696	12.622368
3ebp_699	11.37193
3ebp_713	2.9689763
3ebp_714	4.0934443
3ebp_715	4.965838
3ebp_720	8.389339
3ebp_721	3.2644374
3ebp_730	11.350211
3ebp_732	5.3245716
3ebp_737	4.5014267
3ebp_740	9.107659
3ebp_741	5.057388
3ebp_761	5.8287854
3ebp_768	9.120215
3ebp_771	10.870501
3ebp_774	8.806688
3ebp_777	7.070441
3ebp_779	8.437766
3ebp_783	12.50127
3ebp_784	13.602562
3ebp_790	11.977977
3ebp_792	14.879825
3ebp_7	4.4063234
3ebp_800	21.933477
3ebp_844	4.324085
3ebp_884	5.7995286
3ebp_90	5.9286757
