#code	score
3fv1_115	-3.537212
3fv1_191	-3.7415392
3fv1_262	-0.97479475
3fv1_333	-3.2608938
3fv1_407	22.86747
3fv1_415	14.96773
3fv1_435	13.810927
3fv1_436	23.799215
3fv1_442	13.864508
3fv1_451	18.97151
3fv1_452	39.108826
3fv1_456	43.58855
3fv1_461	9.568415
3fv1_463	20.704927
3fv1_467	35.810684
3fv1_470	5.0225406
3fv1_488	28.02604
3fv1_491	17.977604
3fv1_492	21.135181
3fv1_494	30.1325
3fv1_503	10.581599
3fv1_530	21.478418
3fv1_553	20.437984
3fv1_557	15.657901
3fv1_572	33.201073
3fv1_573	48.329117
3fv1_575	21.553123
3fv1_598	20.705357
3fv1_613	25.03591
3fv1_623	29.302631
3fv1_628	36.185814
3fv1_638	21.850893
3fv1_645	29.947496
3fv1_652	16.544315
3fv1_672	40.810238
3fv1_676	21.974201
3fv1_677	15.868116
3fv1_690	17.754425
3fv1_695	18.026752
3fv1_700	31.903677
3fv1_730	-1.9201183
3fv1_742	0.391276
3fv1_832	2.2745001
3fv1_87	3.5200455
