#code	score
3jya_125	-7.854106
3jya_179	-2.2820916
3jya_20	-6.86807
3jya_238	-8.15687
3jya_285	-6.844584
3jya_315	-7.5930715
3jya_324	-7.01557
3jya_402	13.303941
3jya_403	2.2560287
3jya_405	0.92360014
3jya_408	-0.91302633
3jya_413	-3.6698127
3jya_418	-1.3666162
3jya_420	-9.008643
3jya_425	1.711198
3jya_428	-6.3161845
3jya_435	-6.5093994
3jya_440	-1.3868945
3jya_449	-5.0788784
3jya_455	-3.9588926
3jya_457	-6.019625
3jya_459	-7.69731
3jya_469	2.198997
3jya_470	-5.781686
3jya_471	5.784725
3jya_472	0.49153155
3jya_475	8.843149
3jya_481	0.050762516
3jya_490	-3.6972957
3jya_494	1.3402517
3jya_506	0.22825193
3jya_508	-7.2248163
3jya_518	-0.9951054
3jya_531	1.4881577
3jya_538	-0.5854699
3jya_544	-7.5353847
3jya_553	-1.4076658
3jya_570	-2.0905495
3jya_572	4.5119424
3jya_584	-0.32595074
3jya_594	8.892375
3jya_647	9.901685
3jya_649	7.658585
3jya_690	7.0849357
3jya_700	0.5980843
3jya_712	8.197325
3jya_730	9.268874
3jya_734	9.80417
3jya_735	8.124313
3jya_736	8.466907
3jya_741	7.8712587
3jya_742	5.6534452
3jya_744	5.0941586
3jya_748	6.53086
3jya_750	7.984424
3jya_752	7.1789975
3jya_755	8.0856495
3jya_756	8.575951
3jya_758	8.709108
3jya_761	10.485535
3jya_764	8.522267
3jya_765	8.309059
3jya_766	7.9675756
3jya_767	8.653646
3jya_771	9.152769
3jya_772	8.74786
3jya_774	9.607174
3jya_775	8.449161
3jya_776	8.945559
3jya_780	14.100803
3jya_782	28.409225
3jya_783	37.051033
3jya_786	40.602512
3jya_787	67.73794
3jya_788	105.0974
3jya_791	54.569843
3jya_793	61.96181
3jya_795	129.37715
3jya_796	97.32327
3jya_797	127.96038
3jya_798	94.52893
3jya_799	202.36035
3jya_865	-6.229177
3jya_890	9.441142
3jya_898	7.989426
