#code	score
3l7b_163	1.7881696
3l7b_203	9.5404215
3l7b_207	4.6704717
3l7b_217	10.694829
3l7b_22	9.030425
3l7b_256	7.2493663
3l7b_30	4.5209384
3l7b_38	5.6076455
3l7b_402	17.398571
3l7b_416	12.279337
3l7b_426	8.508274
3l7b_439	14.09272
3l7b_446	15.194561
3l7b_447	10.121783
3l7b_450	15.117398
3l7b_458	17.264965
3l7b_462	23.469984
3l7b_463	19.21492
3l7b_468	11.259201
3l7b_47	4.3429213
3l7b_485	13.56388
3l7b_491	14.501589
3l7b_500	20.95589
3l7b_509	21.301716
3l7b_521	18.464201
3l7b_523	9.274321
3l7b_526	20.140924
3l7b_527	15.751604
3l7b_531	16.941122
3l7b_542	18.158035
3l7b_545	21.77438
3l7b_550	15.06511
3l7b_554	29.069998
3l7b_557	21.040997
3l7b_560	24.131021
3l7b_561	25.87008
3l7b_566	14.3236265
3l7b_568	9.1203165
3l7b_576	8.942082
3l7b_578	18.58245
3l7b_579	22.604597
3l7b_582	12.77612
3l7b_584	29.597586
3l7b_586	13.457652
3l7b_588	18.110786
3l7b_592	24.072813
3l7b_604	14.397423
3l7b_612	12.216968
3l7b_616	26.872803
3l7b_621	15.067713
3l7b_627	22.06803
3l7b_628	21.1049
3l7b_631	20.803652
3l7b_633	12.078762
3l7b_638	21.880735
3l7b_643	15.485928
3l7b_656	20.067562
3l7b_657	23.188913
3l7b_658	21.30386
3l7b_659	15.788314
3l7b_660	28.909424
3l7b_665	13.005436
3l7b_66	5.0785594
3l7b_683	19.44243
3l7b_685	11.192214
3l7b_686	26.110506
3l7b_687	16.766535
3l7b_690	20.06591
3l7b_694	16.743767
3l7b_696	9.120673
3l7b_719	12.200445
3l7b_72	5.8404765
3l7b_730	14.465623
3l7b_750	15.787375
3l7b_844	6.893238
3l7b_93	5.0015635
3l7b_9	4.0212293
