#code	score
3myg_104	11.674958
3myg_110	1.6451087
3myg_115	4.1112914
3myg_140	-2.1039488
3myg_159	7.1210747
3myg_162	0.06969246
3myg_181	1.3749369
3myg_198	5.4560404
3myg_225	-7.653551
3myg_31	-0.7499974
3myg_333	-8.343572
3myg_370	5.1441092
3myg_407	21.160566
3myg_410	18.070257
3myg_422	26.010414
3myg_427	24.664732
3myg_435	60.550747
3myg_438	18.96686
3myg_447	33.03397
3myg_456	35.419857
3myg_459	36.535942
3myg_462	27.323109
3myg_463	42.494167
3myg_470	23.46472
3myg_472	40.736767
3myg_475	21.189087
3myg_476	16.061457
3myg_480	33.465347
3myg_483	13.641392
3myg_498	28.779112
3myg_500	13.797386
3myg_504	14.34668
3myg_526	12.769204
3myg_542	14.98077
3myg_548	7.960588
3myg_550	10.215576
3myg_551	6.828286
3myg_561	27.853394
3myg_574	14.386534
3myg_577	10.490371
3myg_582	23.404634
3myg_588	16.825043
3myg_589	17.680693
3myg_591	8.620336
3myg_600	17.376375
3myg_613	13.935572
3myg_644	17.052387
3myg_665	42.79121
3myg_667	16.411366
3myg_684	13.719693
3myg_693	13.948203
3myg_695	23.794464
3myg_699	19.153097
3myg_703	1.9152734
3myg_714	-1.421185
3myg_725	0.8162098
3myg_729	0.80881125
3myg_733	-3.582709
3myg_737	2.51338
3myg_741	3.9819546
3myg_743	5.2952514
3myg_745	8.626121
3myg_756	6.462456
3myg_761	-0.48306784
3myg_762	6.5218215
3myg_764	10.526609
3myg_767	8.339897
3myg_768	9.80452
3myg_769	7.4388742
3myg_780	7.8737035
3myg_782	12.044388
3myg_783	12.727141
3myg_784	8.239622
3myg_788	14.476846
3myg_792	12.267513
3myg_794	9.900019
3myg_803	-3.3910737
3myg_840	-3.2000387
3myg_841	5.042817
3myg_846	5.56207
3myg_850	3.589229
3myg_867	1.9280212
3myg_875	5.4120364
3myg_882	4.0892167
3myg_884	8.394533
3myg_886	5.437799
3myg_887	6.75483
3myg_890	4.336406
3myg_894	5.546868
3myg_900	-6.544087
3myg_902	-5.415734
3myg_905	-6.5293336
3myg_913	-4.804266
3myg_923	-5.2117324
3myg_925	0.08651081
3myg_947	1.4569533
3myg_965	-0.49445942
3myg_974	8.224245
3myg_980	4.590039
3myg_994	3.4406664
