#code	score
3syr_105	-1.6926072
3syr_225	5.6802444
3syr_251	6.817106
3syr_330	5.4383664
3syr_408	10.30408
3syr_412	15.07967
3syr_413	8.497285
3syr_416	11.201504
3syr_448	13.647361
3syr_452	19.83117
3syr_462	17.510357
3syr_46	1.3746362
3syr_477	11.671527
3syr_47	2.2037182
3syr_484	5.6474843
3syr_499	17.004883
3syr_500	19.00353
3syr_523	21.668835
3syr_533	14.044149
3syr_539	19.634834
3syr_545	17.794416
3syr_550	14.060315
3syr_552	14.280295
3syr_557	14.586054
3syr_563	19.031721
3syr_564	11.898668
3syr_577	17.282667
3syr_582	15.092936
3syr_593	14.985335
3syr_594	10.3643265
3syr_596	13.279818
3syr_599	15.924284
3syr_600	10.274648
3syr_609	16.045326
3syr_614	14.303408
3syr_617	21.653181
3syr_618	19.006418
3syr_621	17.867605
3syr_622	10.956783
3syr_627	11.164764
3syr_629	15.680836
3syr_631	17.313438
3syr_633	13.199428
3syr_636	11.635908
3syr_647	17.62199
3syr_648	15.750489
3syr_658	18.186295
3syr_659	12.521336
3syr_679	12.153518
3syr_692	16.205217
3syr_695	13.669197
3syr_697	17.011946
3syr_699	12.378922
3syr_746	3.845437
3syr_748	12.624607
3syr_752	18.525288
3syr_759	11.981893
3syr_762	20.34683
3syr_772	11.913695
3syr_823	12.207609
3syr_862	2.5170932
3syr_88	7.978663
3syr_93	3.317194
3syr_969	3.5527155
