#code	score
3u8k_110	5.9513264
3u8k_147	-2.9206614
3u8k_224	-1.6974076
3u8k_362	-4.709438
3u8k_408	8.077918
3u8k_412	14.497189
3u8k_420	11.1179905
3u8k_422	-4.1176596
3u8k_424	13.103085
3u8k_426	16.152273
3u8k_444	16.14845
3u8k_448	9.458929
3u8k_456	14.265107
3u8k_463	14.475659
3u8k_475	10.20614
3u8k_479	6.4409556
3u8k_481	25.851267
3u8k_494	20.154413
3u8k_499	14.417282
3u8k_512	12.006936
3u8k_524	12.676262
3u8k_529	11.897592
3u8k_532	18.103672
3u8k_537	14.94772
3u8k_544	14.91131
3u8k_549	10.766418
3u8k_550	13.523758
3u8k_551	11.061127
3u8k_556	20.785982
3u8k_557	13.710767
3u8k_561	10.537001
3u8k_563	11.136869
3u8k_564	11.603674
3u8k_568	13.238515
3u8k_569	11.918122
3u8k_573	20.09074
3u8k_575	13.429776
3u8k_579	13.558072
3u8k_584	9.258853
3u8k_587	8.42664
3u8k_588	16.392906
3u8k_589	15.276127
3u8k_593	18.367834
3u8k_594	9.122505
3u8k_607	10.56667
3u8k_612	7.6156025
3u8k_619	20.160593
3u8k_631	30.44951
3u8k_650	13.75321
3u8k_680	19.296703
3u8k_682	14.118066
3u8k_683	20.259083
3u8k_689	20.088566
3u8k_717	-4.0682735
3u8k_723	-2.173566
3u8k_748	7.6888223
3u8k_756	9.697147
3u8k_765	9.110085
3u8k_771	8.291837
3u8k_773	7.4751477
3u8k_775	8.063392
3u8k_776	8.963359
3u8k_777	10.985544
3u8k_780	8.547915
3u8k_782	12.048936
3u8k_784	12.241243
3u8k_787	11.487725
3u8k_796	15.152728
3u8k_797	14.123161
3u8k_799	21.296665
3u8k_800	14.419773
3u8k_830	-4.756623
