#code	score
3uew_161	10.360767
3uew_211	5.4672403
3uew_224	6.246167
3uew_229	7.107622
3uew_243	4.250819
3uew_249	3.179942
3uew_255	1.5142691
3uew_281	4.9560833
3uew_282	0.7826735
3uew_290	1.3227149
3uew_352	0.5399466
3uew_404	13.16785
3uew_409	8.605249
3uew_415	17.619764
3uew_423	14.50157
3uew_431	11.467333
3uew_433	18.641638
3uew_436	17.473354
3uew_439	6.2760963
3uew_444	10.017443
3uew_446	11.33659
3uew_450	15.857756
3uew_451	21.708326
3uew_454	8.976922
3uew_456	21.965199
3uew_458	27.121479
3uew_467	22.572563
3uew_471	22.033747
3uew_474	12.046263
3uew_475	16.46099
3uew_477	18.469887
3uew_481	19.14911
3uew_482	29.040173
3uew_484	13.253056
3uew_487	14.654515
3uew_488	18.533297
3uew_489	14.179655
3uew_493	30.493664
3uew_495	21.438892
3uew_508	10.895197
3uew_515	22.813353
3uew_520	20.421844
3uew_533	8.408884
3uew_537	10.706799
3uew_545	14.470433
3uew_555	19.107946
3uew_558	18.875727
3uew_564	24.02052
3uew_566	15.899427
3uew_575	16.637646
3uew_582	19.066643
3uew_583	15.342924
3uew_587	6.540413
3uew_588	7.894511
3uew_595	8.995005
3uew_603	27.219004
3uew_612	31.117926
3uew_613	13.948481
3uew_624	16.3075
3uew_644	10.272088
3uew_649	25.840317
3uew_65	-0.04591875
3uew_663	22.73911
3uew_664	15.422245
3uew_666	25.145079
3uew_670	18.98911
3uew_672	15.699262
3uew_675	23.755308
3uew_681	16.698492
3uew_686	18.322784
3uew_697	14.579305
3uew_700	19.794188
3uew_735	6.880292
3uew_740	5.7274723
3uew_751	9.634349
3uew_757	3.7998178
3uew_759	5.889112
3uew_780	3.002495
3uew_787	4.299964
3uew_790	5.163527
3uew_7	4.5340667
3uew_803	6.6210465
3uew_844	6.2851715
3uew_880	8.854959
3uew_919	19.14475
