#code	score
3uex_1000	7.3142266
3uex_102	7.321708
3uex_12	-2.0340884
3uex_187	11.24399
3uex_203	-0.35627955
3uex_212	5.1526203
3uex_224	-0.85129195
3uex_227	-1.5253005
3uex_244	-0.71849364
3uex_247	-1.1964191
3uex_254	7.1237774
3uex_255	-2.643899
3uex_25	1.1664852
3uex_267	-1.0541152
3uex_276	-3.5469403
3uex_292	-2.3053732
3uex_299	1.6420755
3uex_401	25.681932
3uex_409	19.381853
3uex_411	21.120668
3uex_413	9.635702
3uex_419	33.30547
3uex_420	17.795816
3uex_424	23.865026
3uex_425	17.538485
3uex_444	17.611828
3uex_447	26.400274
3uex_452	27.006369
3uex_458	16.661674
3uex_476	24.564196
3uex_482	20.904379
3uex_483	27.029655
3uex_485	18.04906
3uex_491	27.675484
3uex_493	4.9473796
3uex_498	21.41489
3uex_499	20.11061
3uex_508	10.369562
3uex_517	10.480169
3uex_521	15.803612
3uex_522	12.250991
3uex_542	12.993778
3uex_562	8.460698
3uex_566	9.517659
3uex_56	-0.26707837
3uex_576	15.5364685
3uex_581	5.6245546
3uex_585	21.356691
3uex_588	13.27139
3uex_627	12.064209
3uex_630	24.41602
3uex_63	0.23772812
3uex_640	8.054852
3uex_648	16.158676
3uex_652	18.388086
3uex_657	13.803787
3uex_660	20.008583
3uex_667	16.335049
3uex_668	5.208705
3uex_678	22.32477
3uex_688	16.286337
3uex_690	20.779985
3uex_693	19.47884
3uex_696	20.130684
3uex_697	10.42176
3uex_733	6.399559
3uex_743	7.2398057
3uex_748	10.968209
3uex_764	6.0530715
3uex_76	-2.4389663
3uex_772	8.231902
3uex_775	6.622304
3uex_778	4.568342
3uex_782	6.2354026
3uex_794	6.3319435
3uex_815	8.936323
3uex_836	7.415356
3uex_859	10.446642
3uex_90	-0.98722416
3uex_94	-1.0164881
3uex_98	-2.6302311
