#code	score
4cr9_217	4.5288806
4cr9_232	4.627049
4cr9_254	14.540042
4cr9_264	5.55436
4cr9_271	5.626425
4cr9_280	14.23942
4cr9_286	8.7584305
4cr9_307	-0.61355466
4cr9_358	3.1265068
4cr9_359	6.569395
4cr9_408	7.8301654
4cr9_411	13.012585
4cr9_423	10.829371
4cr9_424	8.754772
4cr9_431	5.359973
4cr9_434	23.824215
4cr9_435	4.0738707
4cr9_438	25.253386
4cr9_480	10.182015
4cr9_492	23.914036
4cr9_503	7.05662
4cr9_534	11.910112
4cr9_551	10.216963
4cr9_559	15.216382
4cr9_565	9.558321
4cr9_575	8.243779
4cr9_577	36.152164
4cr9_580	13.071577
4cr9_587	10.64796
4cr9_589	8.333542
4cr9_595	18.235859
4cr9_630	22.266264
4cr9_662	15.520895
4cr9_666	13.5225115
4cr9_689	12.430129
4cr9_690	12.990477
4cr9_708	7.138061
4cr9_710	8.792805
4cr9_715	6.811744
4cr9_717	8.085899
4cr9_726	8.751702
4cr9_730	9.052841
4cr9_734	7.973601
4cr9_741	10.351172
4cr9_743	7.836526
4cr9_746	8.759361
4cr9_748	8.555723
4cr9_750	7.1151156
4cr9_752	7.2930455
4cr9_754	7.5282893
4cr9_755	9.714871
4cr9_758	7.605475
4cr9_759	7.6739526
4cr9_762	10.535118
4cr9_763	7.3675146
4cr9_766	6.9243193
4cr9_769	7.2314377
4cr9_779	6.9946327
4cr9_782	7.915753
4cr9_783	8.348165
4cr9_789	8.270228
4cr9_790	8.697338
4cr9_791	9.263782
4cr9_792	10.298351
4cr9_794	10.207007
4cr9_795	8.842734
4cr9_796	9.583152
4cr9_797	9.212221
4cr9_798	9.527874
4cr9_799	9.858936
4cr9_821	7.763957
4cr9_822	7.2849755
4cr9_843	7.80593
4cr9_849	7.837331
4cr9_855	8.261348
4cr9_861	9.169109
4cr9_864	7.4416695
4cr9_869	7.917309
4cr9_874	11.607341
4cr9_876	10.684204
4cr9_881	9.611844
4cr9_884	7.19005
4cr9_885	7.7939944
4cr9_887	8.543692
4cr9_891	8.094328
4cr9_894	10.063068
4cr9_897	9.937517
4cr9_920	6.683791
4cr9_933	7.3306355
4cr9_970	8.29542
4cr9_984	10.513555
