#code	score
4dld_109	10.530604
4dld_178	4.19139
4dld_198	9.95368
4dld_199	7.3818307
4dld_207	-2.005037
4dld_208	-2.164523
4dld_211	-4.0196204
4dld_249	0.79354036
4dld_252	-0.1445866
4dld_260	1.3583946
4dld_261	6.3639364
4dld_262	-0.6383443
4dld_282	4.9698176
4dld_285	0.5231852
4dld_293	3.0152178
4dld_300	3.6715841
4dld_313	6.8891873
4dld_314	-2.7968974
4dld_369	5.7010555
4dld_408	13.131891
4dld_410	4.645471
4dld_422	25.413319
4dld_425	29.89134
4dld_427	11.960829
4dld_428	17.525827
4dld_438	21.096642
4dld_441	9.005823
4dld_455	14.64509
4dld_457	23.098795
4dld_464	6.86962
4dld_466	12.750019
4dld_473	25.884596
4dld_474	17.072872
4dld_478	18.692734
4dld_490	12.7309065
4dld_497	14.156148
4dld_499	19.428688
4dld_500	16.393202
4dld_501	8.769533
4dld_506	10.996873
4dld_517	19.220295
4dld_535	8.913076
4dld_539	13.487364
4dld_540	10.164919
4dld_545	16.1928
4dld_548	22.311863
4dld_557	10.119837
4dld_567	18.111261
4dld_568	12.6949215
4dld_573	11.347404
4dld_576	30.985582
4dld_577	15.733691
4dld_581	12.5977955
4dld_583	25.034477
4dld_598	11.618023
4dld_631	10.001237
4dld_636	12.853171
4dld_649	13.139578
4dld_653	14.696552
4dld_659	11.085511
4dld_677	7.5700927
4dld_709	-1.7171711
4dld_728	4.1706247
4dld_740	3.4629161
4dld_747	1.4648707
4dld_752	1.8397716
4dld_79	3.1425166
4dld_811	9.507444
4dld_826	1.2302569
4dld_873	3.2032564
4dld_900	1.406867
4dld_947	0.3473152
