#code	score
4eo8_12	-5.9619894
4eo8_148	2.3981822
4eo8_14	0.41669792
4eo8_15	5.8449235
4eo8_206	5.229442
4eo8_283	4.2145987
4eo8_30	-1.7519747
4eo8_318	-4.901778
4eo8_319	6.595137
4eo8_403	37.754074
4eo8_404	29.407938
4eo8_409	47.871468
4eo8_40	0.96591306
4eo8_414	27.035826
4eo8_425	10.433815
4eo8_429	14.596397
4eo8_438	19.141916
4eo8_441	40.88775
4eo8_450	37.430767
4eo8_454	23.961344
4eo8_457	20.885115
4eo8_462	16.781675
4eo8_467	13.695062
4eo8_473	43.708046
4eo8_47	4.7945833
4eo8_480	27.06734
4eo8_483	29.593721
4eo8_486	43.16976
4eo8_488	28.271963
4eo8_515	13.691298
4eo8_518	9.485696
4eo8_523	19.902273
4eo8_524	25.610788
4eo8_533	13.609405
4eo8_536	7.946159
4eo8_552	16.342186
4eo8_557	15.102086
4eo8_564	10.993284
4eo8_567	20.552923
4eo8_569	8.278069
4eo8_572	23.889568
4eo8_578	15.388927
4eo8_579	20.957178
4eo8_580	23.476126
4eo8_584	12.640579
4eo8_592	13.788636
4eo8_595	13.170519
4eo8_597	13.207003
4eo8_598	14.161728
4eo8_602	22.09705
4eo8_611	27.474333
4eo8_619	17.938679
4eo8_622	23.300268
4eo8_638	16.924833
4eo8_63	-5.2085485
4eo8_642	26.722519
4eo8_654	15.333293
4eo8_670	14.155413
4eo8_673	13.001519
4eo8_690	42.577812
4eo8_692	25.369057
4eo8_695	29.589794
4eo8_698	17.416363
4eo8_744	3.5114899
4eo8_748	2.2932358
4eo8_753	6.766786
4eo8_756	11.097847
4eo8_762	6.6143913
4eo8_766	11.369479
4eo8_773	6.9836955
4eo8_781	12.086261
4eo8_782	12.036208
4eo8_783	9.134579
4eo8_7	4.1369715
4eo8_864	-1.1239406
4eo8_880	3.474716
4eo8_883	1.8031131
4eo8_886	10.892324
4eo8_91	-0.116904184
4eo8_9	10.118305
