#code	score
4gr0_107	4.950938
4gr0_113	14.350175
4gr0_119	8.9358
4gr0_120	16.836544
4gr0_133	16.338764
4gr0_13	4.6609645
4gr0_159	8.35812
4gr0_15	8.451324
4gr0_162	13.43518
4gr0_206	-2.3949473
4gr0_217	6.073871
4gr0_218	6.5206733
4gr0_226	3.8343544
4gr0_228	8.54902
4gr0_236	11.800248
4gr0_237	-4.320747
4gr0_240	0.20142245
4gr0_242	4.71359
4gr0_250	-0.511754
4gr0_268	-3.0210545
4gr0_272	0.86542505
4gr0_279	6.8996086
4gr0_281	-4.3375206
4gr0_286	-0.4847142
4gr0_287	-3.7730074
4gr0_300	5.024216
4gr0_305	2.1740355
4gr0_306	7.8422647
4gr0_314	8.934196
4gr0_324	8.209535
4gr0_326	-4.1845307
4gr0_33	7.281601
4gr0_341	-6.6462684
4gr0_375	2.0776203
4gr0_381	8.373506
4gr0_402	68.79592
4gr0_405	68.23351
4gr0_408	32.305065
4gr0_410	50.626602
4gr0_411	113.492905
4gr0_412	120.016075
4gr0_416	26.946884
4gr0_417	171.25862
4gr0_419	70.83725
4gr0_420	112.74875
4gr0_421	104.20622
4gr0_422	47.20576
4gr0_428	61.805653
4gr0_429	143.7643
4gr0_433	62.423294
4gr0_438	28.28314
4gr0_439	143.47063
4gr0_440	103.71716
4gr0_452	79.860565
4gr0_456	25.173882
4gr0_457	219.9026
4gr0_459	112.60962
4gr0_465	63.07343
4gr0_467	161.3303
4gr0_468	85.18042
4gr0_471	63.744526
4gr0_472	168.24841
4gr0_473	58.049435
4gr0_474	166.72806
4gr0_476	104.622856
4gr0_486	49.44669
4gr0_491	62.241688
4gr0_492	55.539547
4gr0_497	13.291802
4gr0_499	140.38559
4gr0_518	62.73997
4gr0_529	21.152855
4gr0_53	3.351977
4gr0_541	29.731417
4gr0_545	26.567732
4gr0_546	73.49616
4gr0_550	42.609234
4gr0_558	42.042187
4gr0_55	2.6440399
4gr0_565	54.58448
4gr0_566	55.157784
4gr0_56	7.1870623
4gr0_573	16.913242
4gr0_575	13.762925
4gr0_583	14.1230545
4gr0_584	27.3828
4gr0_591	81.7916
4gr0_594	30.407358
4gr0_605	30.239439
4gr0_630	33.142967
4gr0_644	19.679972
4gr0_650	19.111666
4gr0_674	42.695324
4gr0_709	-6.2094007
4gr0_715	-3.0138085
4gr0_761	-0.12902954
4gr0_768	-1.7966368
4gr0_791	0.42828226
4gr0_905	2.2525468
4gr0_91	-1.4999521
