#code	score
4jfs_10	5.100431
4jfs_139	4.9065943
4jfs_177	7.854614
4jfs_191	5.3144493
4jfs_266	5.0334296
4jfs_274	5.3750324
4jfs_362	4.7718835
4jfs_385	3.5612063
4jfs_411	5.4218693
4jfs_413	9.696928
4jfs_414	7.187688
4jfs_469	17.272358
4jfs_508	12.813522
4jfs_51	6.5927196
4jfs_527	6.7375402
4jfs_529	12.753459
4jfs_574	12.364161
4jfs_579	16.859463
4jfs_615	4.922327
4jfs_669	12.883039
4jfs_681	25.545734
4jfs_709	5.400046
4jfs_714	5.8040185
4jfs_739	8.814628
4jfs_740	8.777207
4jfs_749	6.1058164
4jfs_750	7.1341047
4jfs_764	7.3144174
4jfs_769	6.7832394
4jfs_778	7.8177657
4jfs_783	7.6093774
4jfs_784	10.028772
4jfs_787	6.730598
4jfs_788	8.519243
4jfs_789	8.822093
4jfs_792	10.194669
4jfs_793	8.254409
4jfs_797	16.21429
4jfs_818	4.5528517
4jfs_849	7.2498775
4jfs_855	5.1791267
4jfs_857	6.5594945
4jfs_867	6.2246795
4jfs_877	7.3747945
4jfs_899	5.188412
4jfs_920	5.4273663
4jfs_958	5.791575
4jfs_970	5.7789593
4jfs_974	6.772139
4jfs_981	7.274122
4jfs_982	5.457339
