#code	score
4jia_111	5.764571
4jia_11	-1.5851245
4jia_162	10.5577755
4jia_202	1.8558968
4jia_205	7.5727773
4jia_210	6.4823203
4jia_214	8.078688
4jia_223	1.6566882
4jia_227	4.93017
4jia_230	-0.517886
4jia_232	4.3166814
4jia_249	4.9381723
4jia_257	2.2650776
4jia_261	1.3143395
4jia_275	5.7667775
4jia_282	5.6483517
4jia_285	-0.5336755
4jia_287	4.9529862
4jia_291	11.54613
4jia_293	6.4211783
4jia_295	1.807134
4jia_316	5.1780014
4jia_335	3.1545982
4jia_337	-1.8873662
4jia_362	-3.5966046
4jia_415	7.2587457
4jia_418	24.520647
4jia_419	15.495535
4jia_427	31.223425
4jia_439	16.055235
4jia_443	20.155626
4jia_460	12.423905
4jia_479	38.085148
4jia_485	18.089872
4jia_532	18.13274
4jia_539	20.610083
4jia_551	15.270977
4jia_552	26.840233
4jia_555	12.993975
4jia_569	26.968903
4jia_587	17.815819
4jia_609	29.596115
4jia_60	-6.703963
4jia_61	4.9921417
4jia_661	14.231504
4jia_665	13.588526
4jia_66	-5.3332067
4jia_679	12.709959
4jia_707	4.441235
4jia_710	-0.334875
4jia_711	3.907443
4jia_712	6.9995275
4jia_719	6.817891
4jia_723	6.384982
4jia_724	4.1740766
4jia_725	9.638481
4jia_727	10.571058
4jia_729	8.688904
4jia_733	10.030458
4jia_734	6.2546387
4jia_737	8.239259
4jia_740	6.9707766
4jia_743	6.922057
4jia_747	7.810331
4jia_749	6.9018683
4jia_752	8.210949
4jia_754	5.9353333
4jia_758	8.902046
4jia_763	5.7978764
4jia_765	10.585003
4jia_766	8.059004
4jia_767	8.187019
4jia_769	7.602508
4jia_770	7.949305
4jia_773	7.8724885
4jia_774	7.957479
4jia_777	7.4149203
4jia_783	10.087817
4jia_789	5.854013
4jia_793	8.783479
4jia_796	8.318576
4jia_807	6.4456425
4jia_812	7.4445286
4jia_844	7.1793084
4jia_851	5.381061
4jia_85	-0.18290803
4jia_868	4.663427
4jia_876	7.4051633
4jia_885	8.307657
4jia_889	5.3858485
4jia_88	-1.4058036
4jia_891	7.949782
4jia_907	9.342786
4jia_917	6.431215
4jia_91	-0.12342635
4jia_923	5.3760715
4jia_957	6.300925
4jia_959	9.530795
4jia_984	7.1460648
4jia_994	6.556819
