#code	score
4k77_149	7.2383714
4k77_167	0.9732928
4k77_173	4.8984146
4k77_190	7.6114187
4k77_207	4.1669974
4k77_229	0.46504074
4k77_237	-3.2874012
4k77_257	1.5282665
4k77_290	4.687873
4k77_325	-2.176306
4k77_328	1.4089799
4k77_331	1.4436784
4k77_403	12.656667
4k77_409	8.888945
4k77_412	14.820097
4k77_416	10.059351
4k77_420	16.717976
4k77_428	11.063202
4k77_437	4.228291
4k77_440	5.3679566
4k77_443	14.223989
4k77_444	17.879187
4k77_462	10.410963
4k77_478	14.96847
4k77_479	9.59041
4k77_482	12.679671
4k77_491	13.758597
4k77_516	12.71183
4k77_520	11.701257
4k77_521	6.969491
4k77_529	10.522169
4k77_546	14.121688
4k77_548	10.863395
4k77_557	8.993976
4k77_560	6.792099
4k77_562	9.916278
4k77_571	9.006665
4k77_572	6.887048
4k77_573	9.625406
4k77_576	8.362873
4k77_577	8.558793
4k77_585	11.807112
4k77_586	15.529413
4k77_592	10.827366
4k77_596	11.987053
4k77_597	13.158213
4k77_598	20.039526
4k77_601	14.477761
4k77_606	11.278298
4k77_608	16.745987
4k77_611	14.875071
4k77_625	16.707487
4k77_633	18.42412
4k77_634	7.3068633
4k77_635	15.476802
4k77_642	12.952477
4k77_645	13.272197
4k77_661	7.300715
4k77_666	13.782687
4k77_681	9.69919
4k77_684	8.80901
4k77_688	13.488481
4k77_690	8.1793785
4k77_693	-0.2917468
4k77_696	12.846427
4k77_699	1.1986352
4k77_743	3.9672866
4k77_748	9.554084
4k77_750	11.000442
4k77_757	9.076616
4k77_775	6.9649677
4k77_782	8.237166
4k77_784	8.379551
4k77_789	6.5387197
4k77_794	8.887769
4k77_869	10.61915
4k77_900	6.592162
4k77_932	2.4839292
4k77_951	4.938317
4k77_959	7.7864437
4k77_982	7.839025
4k77_990	4.7054963
