#code	score
4mgd_1000	-2.1438355
4mgd_132	7.9963565
4mgd_223	-1.3270406
4mgd_24	-3.05075
4mgd_272	-5.7559276
4mgd_283	-6.014969
4mgd_425	7.4559937
4mgd_427	-1.074413
4mgd_428	1.1551492
4mgd_455	4.2812967
4mgd_467	3.9109945
4mgd_469	6.1165323
4mgd_520	10.566639
4mgd_568	15.8730135
4mgd_571	14.007967
4mgd_579	9.026171
4mgd_586	18.20544
4mgd_609	17.088274
4mgd_660	16.836407
4mgd_669	21.422487
4mgd_683	23.131737
4mgd_690	7.4545302
4mgd_732	-1.4950849
4mgd_753	5.8160954
4mgd_761	5.382175
4mgd_763	6.4469857
4mgd_768	8.450584
4mgd_772	9.648013
4mgd_779	8.983871
4mgd_781	8.849487
4mgd_782	7.997808
4mgd_783	6.577436
4mgd_784	9.744751
4mgd_790	11.93726
4mgd_791	13.098333
4mgd_792	21.16081
4mgd_793	12.622737
4mgd_795	20.384672
4mgd_799	13.427975
4mgd_800	27.453735
4mgd_820	2.9428153
4mgd_829	-3.5300596
4mgd_894	4.8150163
4mgd_95	-2.7788992
4mgd_96	-6.588228
