#code	score
4ogj_128	8.318808
4ogj_138	7.8387604
4ogj_177	7.014118
4ogj_202	0.9415582
4ogj_209	20.298443
4ogj_221	8.215905
4ogj_222	6.8283663
4ogj_223	22.684225
4ogj_228	19.532957
4ogj_229	21.104073
4ogj_230	7.909707
4ogj_233	19.147598
4ogj_243	18.226835
4ogj_245	12.162127
4ogj_247	23.298813
4ogj_250	9.372337
4ogj_259	17.275576
4ogj_260	4.780656
4ogj_263	6.3837495
4ogj_267	8.100154
4ogj_271	7.5451236
4ogj_279	10.769391
4ogj_282	23.174185
4ogj_286	8.793983
4ogj_291	3.3709548
4ogj_297	9.635743
4ogj_300	24.493492
4ogj_40	5.5105925
4ogj_439	55.996128
4ogj_447	125.52274
4ogj_44	7.5028524
4ogj_45	5.5342655
4ogj_478	30.602589
4ogj_503	19.742226
4ogj_523	16.05069
4ogj_527	41.66785
4ogj_565	25.166145
4ogj_569	20.914457
4ogj_570	17.19514
4ogj_575	10.314652
4ogj_619	38.463894
4ogj_627	26.179825
4ogj_637	33.428543
4ogj_638	31.010954
4ogj_658	53.329037
4ogj_65	0.3649148
4ogj_661	40.28278
4ogj_664	22.675308
4ogj_670	70.65664
4ogj_677	24.65378
4ogj_698	46.88692
4ogj_700	42.256283
4ogj_701	-3.5315568
4ogj_70	6.240914
4ogj_722	0.18867058
4ogj_723	-0.18052468
4ogj_72	6.7328224
4ogj_742	6.0700746
4ogj_743	0.59789556
4ogj_744	2.0522733
4ogj_746	5.6618423
4ogj_750	0.92057073
4ogj_753	3.7848094
4ogj_757	0.49486464
4ogj_758	5.4706445
4ogj_762	0.55616176
4ogj_764	5.278996
4ogj_771	10.713009
4ogj_778	4.571758
4ogj_782	3.026794
4ogj_784	-2.5700014
4ogj_785	10.195585
4ogj_789	4.9448447
4ogj_792	4.783301
4ogj_795	8.860484
4ogj_7	8.522059
4ogj_808	5.067396
4ogj_824	0.8926024
4ogj_852	5.555573
4ogj_881	-3.906162
4ogj_882	3.3186378
4ogj_897	4.944592
4ogj_89	8.018627
4ogj_914	4.432441
4ogj_935	5.1258073
4ogj_936	2.3145673
4ogj_937	-2.6031976
4ogj_957	2.0499601
4ogj_969	2.634046
4ogj_990	0.70510745
4ogj_993	3.5216136
4ogj_999	-3.8461447
