#code	score
4qd6_103	10.23042
4qd6_160	5.402648
4qd6_167	8.347504
4qd6_187	11.198386
4qd6_207	7.2830315
4qd6_219	7.7610564
4qd6_230	10.011526
4qd6_265	10.28144
4qd6_268	7.0408015
4qd6_276	10.519314
4qd6_290	9.453662
4qd6_294	17.069136
4qd6_298	7.6221476
4qd6_302	7.84825
4qd6_312	11.866209
4qd6_339	1.224672
4qd6_346	7.7755814
4qd6_347	6.3877926
4qd6_387	4.552555
4qd6_390	2.7293096
4qd6_397	6.1851554
4qd6_408	33.71653
4qd6_414	84.430855
4qd6_428	45.65785
4qd6_429	28.860373
4qd6_448	28.996408
4qd6_449	87.688324
4qd6_44	4.874955
4qd6_460	91.12687
4qd6_465	30.02643
4qd6_471	78.95696
4qd6_473	60.823673
4qd6_475	50.449207
4qd6_490	17.171587
4qd6_501	41.689198
4qd6_507	8.769444
4qd6_511	40.79154
4qd6_516	69.04236
4qd6_518	48.486496
4qd6_519	17.372274
4qd6_520	17.977251
4qd6_528	21.723333
4qd6_529	7.003318
4qd6_540	11.485025
4qd6_547	21.393816
4qd6_568	14.167391
4qd6_573	19.970133
4qd6_574	14.735051
4qd6_578	21.56761
4qd6_588	11.387312
4qd6_58	4.954624
4qd6_593	22.597008
4qd6_612	15.218367
4qd6_614	19.695547
4qd6_621	19.254877
4qd6_623	30.684534
4qd6_62	8.875617
4qd6_639	17.114399
4qd6_642	32.748955
4qd6_653	24.477419
4qd6_671	31.498533
4qd6_673	73.11421
4qd6_674	10.897561
4qd6_675	15.925957
4qd6_678	27.420446
4qd6_681	16.424446
4qd6_683	16.844711
4qd6_687	63.796326
4qd6_6	4.091438
4qd6_700	27.098783
4qd6_707	4.0949974
4qd6_708	6.103883
4qd6_709	2.0886836
4qd6_714	3.9744387
4qd6_737	2.496885
4qd6_790	4.716395
4qd6_825	4.9557385
4qd6_82	6.7192454
4qd6_835	5.525006
4qd6_847	4.1399765
4qd6_84	-1.2898101
4qd6_85	4.4757113
4qd6_925	8.582411
4qd6_934	7.4381657
4qd6_939	5.6633806
4qd6_942	4.538857
4qd6_948	7.2966514
4qd6_954	6.39493
4qd6_958	4.8392553
4qd6_960	5.8481426
4qd6_971	5.1951737
4qd6_975	5.337804
4qd6_978	5.0710382
