#code	score
4w9i_110	-0.510404
4w9i_172	3.1107128
4w9i_197	6.4487
4w9i_199	1.6822155
4w9i_204	-3.1983192
4w9i_221	0.7491988
4w9i_337	10.700533
4w9i_374	3.4878592
4w9i_388	8.255577
4w9i_394	6.558002
4w9i_403	15.331936
4w9i_417	36.373093
4w9i_424	26.298685
4w9i_429	51.44099
4w9i_430	13.109199
4w9i_439	24.470139
4w9i_440	74.54606
4w9i_447	41.15537
4w9i_468	47.33552
4w9i_474	14.079934
4w9i_476	23.113058
4w9i_484	14.26196
4w9i_487	52.27505
4w9i_489	12.648115
4w9i_491	21.641462
4w9i_494	22.708586
4w9i_496	31.883364
4w9i_511	12.739525
4w9i_512	24.40713
4w9i_515	24.822691
4w9i_524	13.596591
4w9i_528	39.760685
4w9i_534	38.650677
4w9i_535	17.897886
4w9i_546	33.835625
4w9i_550	13.698913
4w9i_551	26.206306
4w9i_554	15.502565
4w9i_565	12.554599
4w9i_567	17.642664
4w9i_56	4.180729
4w9i_570	31.236418
4w9i_574	16.708057
4w9i_575	20.397255
4w9i_583	9.305567
4w9i_586	15.015504
4w9i_587	11.043189
4w9i_589	10.020683
4w9i_595	18.339617
4w9i_602	14.13198
4w9i_611	16.500101
4w9i_612	40.02625
4w9i_615	14.561808
4w9i_622	22.856121
4w9i_626	42.21687
4w9i_630	15.362275
4w9i_649	16.660994
4w9i_658	11.313812
4w9i_670	19.996511
4w9i_672	11.488196
4w9i_687	47.825382
4w9i_697	17.251722
4w9i_698	17.725395
4w9i_755	3.5565948
4w9i_756	4.5092688
4w9i_759	5.6392922
4w9i_761	6.4024696
4w9i_763	5.765753
4w9i_764	6.5391874
4w9i_766	9.40838
4w9i_768	5.915116
4w9i_771	7.887678
4w9i_772	5.280783
4w9i_774	7.225189
4w9i_776	6.737999
4w9i_777	11.856852
4w9i_782	12.781233
4w9i_787	7.5146046
4w9i_789	8.934068
4w9i_790	8.854411
4w9i_791	7.1856008
4w9i_792	9.845517
4w9i_793	10.897306
4w9i_794	-3.5264802
4w9i_795	-5.460964
4w9i_796	-4.1177416
4w9i_801	-5.717887
4w9i_846	8.757976
4w9i_852	2.6513255
4w9i_873	0.012949754
4w9i_879	-0.8641605
4w9i_882	3.789139
4w9i_885	-1.1265633
4w9i_886	1.549224
4w9i_890	4.2889614
4w9i_893	-4.571007
4w9i_924	5.746804
4w9i_97	7.713305
4w9i_989	1.0332458
