#Target	enrichment
5c2h	0.0
3uri	8.0
4rfm	0.0
4ty7	12.0
4agq	0.0
5dwr	3.3333333333333335
4twp	2.2222222222222223
3u8n	6.666666666666667
3o9i	2.8571428571428568
3p5o	4.0
3ejr	0.0
3ebp	0.0
2vvn	0.0
3arp	8.0
3gnw	0.0
1e66	8.0
3f3e	8.0
2cet	4.0
4gid	3.3333333333333335
4pcs	0.0
3ge7	8.0
3e93	12.0
3qqs	0.0
2r9w	0.0
2qbp	8.0
3ag9	0.0
4tmn	8.0
3coy	0.0
2fvd	2.8571428571428568
4ivc	6.666666666666666
4jia	2.0
1nvq	2.2222222222222223
2zcq	4.0
3utu	2.0
2p4y	2.2222222222222223
3myg	0.0
1sqa	13.333333333333334
3dd0	0.0
2yki	0.0
3g0w	3.3333333333333335
2al5	8.0
4de1	0.0
3fv1	8.0
2p15	16.0
1mq6	0.0
4f3c	8.0
1o3f	16.0
2vw5	0.0
3kr8	8.0
2x00	0.0
3nw9	8.0
3zso	2.5
2xb8	12.0
4w9h	4.0
3uex	4.0
4gr0	4.0
1u1b	0.0
