#code	success
4llx	0
5c28	0
3uuo	0
3ui7	0
5c2h	0
2v00	0
3wz8	0
3pww	0
3prs	0
3uri	0
4m0z	0
4m0y	0
3qgy	0
4qd6	0
4rfm	0
4cr9	0
4cra	0
4x6p	0
4crc	0
4ty7	0
5aba	0
5a7b	0
4agn	0
4agp	0
4agq	0
3bgz	0
3jya	0
2c3i	0
4k18	0
5dwr	0
3mss	0
3k5v	0
3pyy	0
2v7a	0
4twp	0
3wtj	0
3zdg	0
3u8k	0
4qac	0
3u8n	0
1a30	0
2qnq	0
1g2k	0
1eby	0
3o9i	0
4lzs	0
3u5j	0
4wiv	0
4ogj	0
3p5o	1
1ps3	0
3dx1	1
3d4z	0
3dx2	0
3ejr	0
3l7b	1
4eky	0
3g2n	0
3syr	0
3ebp	0
2w66	0
2w4x	0
2wca	0
2xj7	0
2vvn	0
3aru	0
3arv	0
3ary	0
3arq	0
3arp	0
4ih5	0
4ih7	0
3cj4	0
4eo8	0
3gnw	0
1gpk	0
1gpn	0
1h23	0
1h22	0
1e66	0
3f3a	0
3f3c	0
4mme	0
3f3d	1
3f3e	1
2wbg	0
2cbv	0
2j78	0
2j7h	0
2cet	0
3udh	0
3rsx	0
4djv	0
2vkm	0
4gid	0
4jfs	0
4j28	0
2wvt	0
2xii	0
4pcs	0
3rr4	0
1s38	0
1r5y	0
3gc5	0
3ge7	1
4dli	0
2zb1	0
4f9w	0
3e92	0
3e93	0
4owm	0
3twp	0
3r88	0
4gkm	0
3qqs	0
3gv9	0
3gr2	0
4kz6	0
4jxs	0
2r9w	0
2hb1	0
1bzc	0
2qbr	0
2qbq	1
2qbp	0
1q8t	0
1ydr	0
1q8u	0
1ydt	0
3ag9	0
3fcq	0
1z9g	0
1qf1	0
5tmn	0
4tmn	0
4ddk	0
4ddh	0
3ivg	0
3coz	0
3coy	0
3pxf	0
4eor	0
2xnb	0
1pxn	0
2fvd	0
4k77	0
4e5w	0
4ivb	1
4ivd	1
4ivc	0
4f09	0
4gfm	0
4hge	0
4e6q	0
4jia	0
2brb	0
2br1	0
3jvr	0
3jvs	0
1nvq	0
3acw	0
4ea2	0
2zcr	0
2zy1	0
2zcq	0
1bcu	0
3bv9	0
1oyt	0
2zda	0
3utu	0
3u9q	0
2yfe	0
3fur	0
3b1m	1
2p4y	1
3uo4	0
3up2	0
3e5a	0
2wtv	0
3myg	0
3kgp	0
1c5z	0
1o5b	0
1owh	0
1sqa	0
4jsz	0
3kwa	0
2weg	0
3ryj	0
3dd0	0
2xdl	1
3b27	0
1yc1	0
3rlr	0
2yki	0
1z95	0
3b68	0
3b5r	0
3b65	0
3g0w	1
4u4s	0
1p1q	0
1syi	0
1p1n	0
2al5	1
3g2z	0
3g31	0
4de2	0
4de3	0
4de1	0
1vso	0
4dld	0
3gbb	1
3fv2	0
3fv1	0
4mgd	1
2qe4	0
1qkt	1
2pog	1
2p15	1
2y5h	0
1lpg	0
2xbv	0
1z6e	0
1mq6	0
1nc3	1
1nc1	0
1y6r	1
4f2w	0
4f3c	0
1uto	0
4abg	0
3gy4	0
1k1i	0
1o3f	0
2yge	0
2fxs	0
2iwx	0
2wer	0
2vw5	0
4kzq	0
4kzu	0
4j21	0
4j3l	0
3kr8	1
2ymd	0
2wnc	0
2xys	0
2wn9	0
2x00	0
3ozt	0
3ozs	1
3oe5	0
3oe4	0
3nw9	0
3ao4	0
3zt2	0
3zsx	0
4cig	0
3zso	0
3n7a	0
4ciw	1
3n86	0
3n76	0
2xb8	1
4bkt	0
4w9c	0
4w9l	0
4w9i	0
4w9h	0
3nq9	1
3ueu	1
3uev	0
3uew	0
3uex	0
3lka	0
3ehy	0
3tsk	0
3nx7	0
4gr0	0
3dxg	0
3d6q	0
1w4o	0
1o0h	0
1u1b	0
