#code_ligand_num	score
1a30_ligand_109	3.7705636
1a30_ligand_11	7.272326
1a30_ligand_122	5.280702
1a30_ligand_125	5.60718
1a30_ligand_126	1.083998
1a30_ligand_130	7.6149106
1a30_ligand_138	8.798988
1a30_ligand_139	5.8255124
1a30_ligand_13	7.080492
1a30_ligand_142	6.6591864
1a30_ligand_149	4.7617803
1a30_ligand_15	9.193916
1a30_ligand_163	27.255384
1a30_ligand_165	18.903418
1a30_ligand_16	6.9631457
1a30_ligand_17	9.738739
1a30_ligand_188	15.593759
1a30_ligand_18	5.6417003
1a30_ligand_192	9.908086
1a30_ligand_194	15.684583
1a30_ligand_197	18.03396
1a30_ligand_1	5.792418
1a30_ligand_202	13.510054
1a30_ligand_205	18.819744
1a30_ligand_207	6.2953105
1a30_ligand_212	7.841811
1a30_ligand_21	7.12543
1a30_ligand_226	6.2180133
1a30_ligand_228	14.347131
1a30_ligand_234	11.549532
1a30_ligand_239	10.491968
1a30_ligand_240	7.1211915
1a30_ligand_241	8.943406
1a30_ligand_243	8.025627
1a30_ligand_244	9.684819
1a30_ligand_249	7.6767006
1a30_ligand_262	22.527103
1a30_ligand_264	17.88715
1a30_ligand_265	10.78532
1a30_ligand_274	14.3789015
1a30_ligand_27	6.789116
1a30_ligand_284	13.88076
1a30_ligand_286	22.306557
1a30_ligand_288	22.899178
1a30_ligand_28	5.2477174
1a30_ligand_296	18.41728
1a30_ligand_298	16.938005
1a30_ligand_29	8.5485525
1a30_ligand_307	19.519136
1a30_ligand_309	8.249383
1a30_ligand_311	16.017477
1a30_ligand_313	15.9011
1a30_ligand_317	19.223082
1a30_ligand_318	27.668577
1a30_ligand_319	20.75188
1a30_ligand_323	32.56786
1a30_ligand_326	18.684927
1a30_ligand_328	16.422432
1a30_ligand_332	18.48465
1a30_ligand_335	33.826576
1a30_ligand_33	3.72586
1a30_ligand_347	21.727856
1a30_ligand_349	16.064257
1a30_ligand_355	8.191974
1a30_ligand_35	7.0647254
1a30_ligand_36	6.138853
1a30_ligand_377	6.967789
1a30_ligand_37	5.360739
1a30_ligand_398	6.162926
1a30_ligand_3	8.387771
1a30_ligand_402	6.390025
1a30_ligand_40	6.0064063
1a30_ligand_41	8.778814
1a30_ligand_42	5.9032574
1a30_ligand_437	8.989049
1a30_ligand_447	7.5161657
1a30_ligand_468	10.106537
1a30_ligand_46	7.4050937
1a30_ligand_47	5.7212615
1a30_ligand_48	6.5040507
1a30_ligand_499	10.90916
1a30_ligand_50	2.6795578
1a30_ligand_51	6.124633
1a30_ligand_55	5.1697927
1a30_ligand_57	6.43459
1a30_ligand_60	9.603484
1a30_ligand_61	7.6184273
1a30_ligand_66	8.583111
1a30_ligand_68	7.120388
1a30_ligand_6	7.092806
1a30_ligand_73	7.9858565
1a30_ligand_76	6.754251
1a30_ligand_81	6.5467916
1a30_ligand_83	7.2392964
1a30_ligand_88	7.8983955
1a30_ligand_89	7.1685615
1a30_ligand_95	4.4920225
1a30_ligand_96	5.3120575
1a30_ligand_97	8.758481
1a30_ligand_98	2.5209188
1bcu_ligand_14	-0.27994248
1bcu_ligand_154	15.348373
1bcu_ligand_155	23.458864
1bcu_ligand_166	11.873943
1bcu_ligand_170	14.266763
1bcu_ligand_179	4.384948
1bcu_ligand_183	15.218903
1bcu_ligand_188	13.613423
1bcu_ligand_191	20.965775
1bcu_ligand_196	23.59753
1bcu_ligand_199	19.013819
1bcu_ligand_210	7.6535234
1bcu_ligand_217	7.4218264
1bcu_ligand_229	8.202397
1bcu_ligand_236	5.9828315
1bcu_ligand_246	15.773925
1bcu_ligand_258	6.4801726
1bcu_ligand_271	8.834141
1bcu_ligand_275	10.052804
1bcu_ligand_276	11.916636
1bcu_ligand_278	11.029686
1bcu_ligand_279	7.093277
1bcu_ligand_280	13.848587
1bcu_ligand_283	6.9283147
1bcu_ligand_290	19.868189
1bcu_ligand_294	10.363234
1bcu_ligand_299	8.098485
1bcu_ligand_303	10.748313
1bcu_ligand_322	19.805962
1bcu_ligand_325	22.281794
1bcu_ligand_327	10.419726
1bcu_ligand_328	10.79768
1bcu_ligand_330	10.914275
1bcu_ligand_333	12.198115
1bcu_ligand_337	6.238699
1bcu_ligand_344	14.948695
1bcu_ligand_347	18.603823
1bcu_ligand_354	6.496215
1bcu_ligand_358	8.230364
1bcu_ligand_359	2.190762
1bcu_ligand_361	9.108269
1bcu_ligand_362	9.038384
1bcu_ligand_363	7.4127865
1bcu_ligand_364	7.597834
1bcu_ligand_366	7.3808284
1bcu_ligand_367	7.2577333
1bcu_ligand_368	8.352043
1bcu_ligand_369	10.400312
1bcu_ligand_371	7.9039683
1bcu_ligand_372	11.3411665
1bcu_ligand_373	8.575128
1bcu_ligand_374	10.883755
1bcu_ligand_375	11.098184
1bcu_ligand_378	5.327431
1bcu_ligand_381	7.9830537
1bcu_ligand_382	11.59057
1bcu_ligand_388	9.398716
1bcu_ligand_389	7.584652
1bcu_ligand_390	8.7296295
1bcu_ligand_391	8.898523
1bcu_ligand_392	7.719534
1bcu_ligand_393	7.8207116
1bcu_ligand_394	7.7999344
1bcu_ligand_395	8.37835
1bcu_ligand_396	7.567427
1bcu_ligand_397	7.5986295
1bcu_ligand_398	8.348855
1bcu_ligand_399	8.845154
1bcu_ligand_400	8.172872
1bcu_ligand_402	7.51115
1bcu_ligand_409	9.147451
1bcu_ligand_412	7.238438
1bcu_ligand_415	10.002575
1bcu_ligand_417	9.039732
1bcu_ligand_418	8.458027
1bcu_ligand_423	10.094895
1bcu_ligand_429	9.047468
1bcu_ligand_431	4.0916896
1bcu_ligand_432	10.1308975
1bcu_ligand_433	8.127643
1bcu_ligand_435	9.833584
1bcu_ligand_436	9.291462
1bcu_ligand_438	8.200926
1bcu_ligand_443	13.076375
1bcu_ligand_444	6.591764
1bcu_ligand_445	6.6395454
1bcu_ligand_447	9.040765
1bcu_ligand_448	7.7883797
1bcu_ligand_456	5.355597
1bcu_ligand_458	9.755447
1bcu_ligand_473	9.286009
1bcu_ligand_479	7.4277453
1bcu_ligand_483	8.229406
1bcu_ligand_491	5.6744585
1bcu_ligand_494	7.588497
1bcu_ligand_495	11.674391
1bcu_ligand_497	8.520561
1bcu_ligand_499	7.1425376
1bcu_ligand_76	5.553806
1bcu_ligand_85	7.363385
1bzc_ligand_103	6.0935864
1bzc_ligand_106	6.3398175
1bzc_ligand_108	2.9557676
1bzc_ligand_111	7.613516
1bzc_ligand_123	3.852347
1bzc_ligand_139	7.7982607
1bzc_ligand_141	13.0693
1bzc_ligand_142	1.8088337
1bzc_ligand_145	7.557327
1bzc_ligand_153	24.881504
1bzc_ligand_157	30.613695
1bzc_ligand_161	37.638832
1bzc_ligand_164	15.676004
1bzc_ligand_170	25.250103
1bzc_ligand_176	27.867926
1bzc_ligand_189	31.136492
1bzc_ligand_197	20.23414
1bzc_ligand_202	8.6445265
1bzc_ligand_208	11.010865
1bzc_ligand_20	8.615308
1bzc_ligand_213	14.043844
1bzc_ligand_214	10.914876
1bzc_ligand_215	9.996776
1bzc_ligand_216	11.207806
1bzc_ligand_218	11.186642
1bzc_ligand_219	9.743388
1bzc_ligand_21	3.77794
1bzc_ligand_228	6.478373
1bzc_ligand_230	12.657495
1bzc_ligand_231	7.709732
1bzc_ligand_232	12.943567
1bzc_ligand_243	11.608738
1bzc_ligand_245	11.868248
1bzc_ligand_248	8.60297
1bzc_ligand_249	6.6724596
1bzc_ligand_252	12.781639
1bzc_ligand_262	18.346535
1bzc_ligand_265	16.380447
1bzc_ligand_268	11.930223
1bzc_ligand_269	15.211971
1bzc_ligand_277	9.003447
1bzc_ligand_278	15.082296
1bzc_ligand_291	10.00836
1bzc_ligand_296	24.080544
1bzc_ligand_297	13.746549
1bzc_ligand_298	14.962817
1bzc_ligand_29	6.6338234
1bzc_ligand_2	9.937292
1bzc_ligand_301	16.791231
1bzc_ligand_303	22.479586
1bzc_ligand_306	26.622414
1bzc_ligand_310	11.44372
1bzc_ligand_311	12.914801
1bzc_ligand_316	20.366814
1bzc_ligand_319	22.82435
1bzc_ligand_31	5.7562456
1bzc_ligand_320	16.714798
1bzc_ligand_321	19.213957
1bzc_ligand_322	20.97668
1bzc_ligand_323	17.045183
1bzc_ligand_328	22.412802
1bzc_ligand_332	25.767881
1bzc_ligand_334	25.15942
1bzc_ligand_335	17.360905
1bzc_ligand_336	7.2588797
1bzc_ligand_337	41.510624
1bzc_ligand_338	30.639359
1bzc_ligand_33	12.24478
1bzc_ligand_340	19.987537
1bzc_ligand_343	15.258021
1bzc_ligand_346	16.034618
1bzc_ligand_347	14.128843
1bzc_ligand_348	16.690308
1bzc_ligand_349	15.330687
1bzc_ligand_34	6.803847
1bzc_ligand_367	4.613301
1bzc_ligand_389	6.907119
1bzc_ligand_391	6.879051
1bzc_ligand_392	10.195172
1bzc_ligand_396	7.708466
1bzc_ligand_398	8.774216
